PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\JAWA_woman\Women_Action_7.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1173	41	mm	120.00	1	      1173
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	-44.37858	1634.84790	-38.29613	-53.16851	1490.46460	-94.83834	-47.44567	1642.52380	74.90248	14.02072	1593.33801	-41.80840	-193.09897	1334.06250	15.51707	92.49654	1345.13184	8.87276	-63.78202	1339.04468	-36.97181	22.78991	1250.70276	-63.96399	-351.42957	1247.45178	32.01292	-456.11194	1233.35083	80.02289	-531.22662	1290.02075	99.66584	-651.93994	1253.83142	162.73250	-671.89044	1265.61572	107.75686	-728.59863	1212.48230	172.28116	-750.74805	1244.30493	112.95319	264.58334	1292.10022	9.66744	367.28131	1267.44470	45.18861	464.64276	1296.42896	58.55324	581.23993	1264.82788	148.37508	595.63116	1282.18188	82.16673	621.47919	1251.90393	171.32364	661.72137	1284.99341	114.00714	-171.24628	901.45935	128.44864	65.61066	890.56262	129.47784	-180.97330	916.37836	-19.21505	81.68565	909.03723	-12.70611	-49.60555	903.96295	-54.11684	-206.94846	692.60126	93.43301	-176.58533	403.78369	-21.14032	-148.55400	295.15555	18.50190	-126.62467	60.48965	-31.30870	-134.48212	32.28137	117.55334	-70.47446	46.58437	-62.26052	-173.97684	28.17922	69.92574	109.85172	693.85846	84.31600	61.34501	415.68207	-6.83082	36.27640	304.16333	3.94802	18.33564	71.84258	-49.32116	-49.47296	50.18310	-67.72597	64.90597	33.79487	80.62101	88.31898	28.90521	31.82610	
2	0.008	-44.42267	1634.83020	-38.74126	-53.01192	1490.13525	-95.06848	-47.19814	1642.58398	74.42466	14.32084	1593.13013	-42.28310	-193.17642	1334.13721	15.38001	92.50311	1345.09082	8.84629	-63.70214	1339.06226	-37.10891	22.78991	1250.70276	-63.96399	-351.42035	1247.53491	31.79901	-455.93811	1233.47559	79.88420	-531.33569	1290.19031	99.52599	-651.82336	1253.91638	162.76472	-671.66644	1266.01636	107.47738	-728.59064	1212.66467	172.08481	-750.86505	1244.58740	112.81570	264.58334	1292.10022	9.66744	367.28186	1267.37878	45.31753	464.64056	1296.37329	58.59423	581.10284	1264.71545	148.29710	595.97986	1282.00073	82.11231	621.57233	1251.70667	171.36397	661.72137	1284.99341	114.00714	-171.20944	901.34912	128.36105	65.56368	890.51361	129.36955	-180.98779	916.35138	-19.33169	81.58266	908.98834	-12.71440	-49.62093	903.81299	-54.20105	-206.94846	692.60126	93.43301	-176.58533	403.78369	-21.14032	-148.45807	295.11954	18.42129	-126.65444	60.40761	-31.33923	-134.48212	32.28137	117.55334	-70.47446	46.58437	-62.26052	-173.97684	28.17922	69.92574	109.89555	693.81836	84.37109	61.35563	415.73984	-6.89642	36.14390	304.15762	3.95710	18.33564	71.84258	-49.32116	-49.47296	50.18310	-67.72597	64.90597	33.79487	80.62101	88.18068	28.73480	31.78145	
3	0.017	-44.37931	1634.76648	-38.91456	-52.91872	1489.99414	-95.30398	-46.90747	1642.75305	73.90518	14.43708	1592.94641	-42.60791	-193.15154	1334.20471	15.20369	92.57007	1345.01917	8.81224	-63.76706	1339.04675	-37.22681	22.78059	1250.82043	-64.14941	-351.50803	1247.39734	31.70565	-455.85095	1233.53589	79.65511	-531.19769	1290.25317	99.36606	-651.75098	1254.02197	162.59933	-671.52399	1266.20349	107.32530	-728.43701	1212.98206	172.12674	-750.84888	1244.87512	112.80698	264.58334	1292.10022	9.66744	367.29910	1267.20154	45.35017	464.68628	1296.32910	58.60200	581.10284	1264.71545	148.29710	595.90723	1281.68152	82.45148	621.12720	1251.09338	169.81918	661.64087	1284.82971	114.07603	-171.21806	901.41187	128.32977	65.56368	890.51361	129.36955	-181.12637	916.36389	-19.52897	81.58266	908.98834	-12.71440	-49.64000	903.84808	-54.14308	-206.94846	692.60126	93.43301	-176.58533	403.78369	-21.14032	-148.45807	295.11954	18.42129	-126.65444	60.40761	-31.33923	-134.49435	32.25144	117.60706	-70.47446	46.58437	-62.26052	-173.97684	28.17922	69.92574	109.73112	693.84814	84.33599	61.35563	415.73984	-6.89642	36.14390	304.15762	3.95710	18.41459	71.83423	-49.40322	-49.47296	50.18310	-67.72597	64.90597	33.79487	80.62101	88.14847	28.68611	31.84605	
4	0.025	-44.11757	1634.67554	-39.25488	-53.00546	1489.92151	-95.27802	-46.87251	1642.64539	73.62202	14.44968	1592.96252	-42.92500	-193.05116	1334.16516	14.98836	92.62807	1344.99939	8.83445	-63.66191	1339.09631	-37.28062	22.78114	1250.83374	-64.28241	-351.45752	1247.64758	31.40775	-456.04697	1233.65100	79.45346	-531.19073	1290.41809	99.28107	-651.77173	1254.08936	162.70665	-671.75092	1266.40808	107.09897	-728.43457	1213.07239	172.07339	-750.83929	1244.99707	112.63319	264.52628	1292.08313	9.58723	367.29910	1267.20154	45.35017	464.77298	1296.24341	58.54659	580.96332	1264.66064	148.40582	595.90723	1281.68152	82.45148	621.12720	1251.09338	169.81918	661.76495	1284.69897	114.25589	-171.55786	901.34589	128.05502	65.63132	890.54285	129.27179	-181.11095	916.29346	-19.57774	81.68565	909.03723	-12.70611	-49.72408	903.76776	-54.32128	-206.94846	692.60126	93.43301	-176.58533	403.78369	-21.14032	-148.45807	295.11954	18.42129	-126.65444	60.40761	-31.33923	-134.48212	32.28137	117.55334	-70.47446	46.58437	-62.26052	-174.04312	28.15568	69.84492	109.85172	693.85846	84.31600	61.36477	415.67984	-6.99814	36.27640	304.16333	3.94802	18.33564	71.84258	-49.32116	-49.47296	50.18310	-67.72597	64.87395	33.89712	80.58632	88.18728	28.66890	31.81696	
5	0.033	-43.99297	1634.55627	-39.64572	-52.87099	1489.78247	-95.57227	-46.90661	1642.81543	73.29911	14.50235	1592.91113	-43.20594	-192.85892	1334.24902	14.85573	92.62807	1344.99939	8.83445	-63.66567	1339.17737	-37.42556	22.89876	1250.92249	-64.51067	-351.51025	1247.97986	31.42817	-456.04697	1233.65100	79.45346	-531.23901	1290.57141	99.27140	-651.63885	1254.33118	162.60941	-671.82422	1266.64844	106.88566	-728.37030	1213.11353	171.80592	-750.87036	1245.14868	112.51516	264.52628	1292.08313	9.58723	367.18951	1266.97327	45.24724	464.71271	1295.89819	58.52772	580.96332	1264.66064	148.40582	596.01257	1281.51355	82.59871	621.12720	1251.09338	169.81918	661.70880	1284.54553	114.26377	-171.50385	901.43634	127.96055	65.68023	890.61609	129.25603	-181.11624	916.17035	-19.65084	81.58266	908.98834	-12.71440	-49.72408	903.76776	-54.32128	-206.94846	692.60126	93.43301	-176.58533	403.78369	-21.14032	-148.45807	295.11954	18.42129	-126.65444	60.40761	-31.33923	-134.40939	32.29527	117.55326	-70.47446	46.58437	-62.26052	-174.12128	28.15356	69.84055	109.85172	693.85846	84.31600	61.35563	415.73984	-6.89642	36.19175	304.19135	3.89394	18.33564	71.84258	-49.32116	-49.47296	50.18310	-67.72597	64.84383	33.83701	80.60265	88.18068	28.73480	31.78145	
6	0.042	-43.86126	1634.54333	-39.81266	-52.70935	1489.67664	-95.75187	-46.89045	1642.82666	72.90818	14.50235	1592.91113	-43.20594	-192.76334	1334.23645	14.61156	92.59429	1344.98621	8.76445	-63.64339	1339.03857	-37.43346	22.96012	1250.85596	-64.48022	-359.33759	1252.20569	23.11325	-455.84903	1233.84070	79.41528	-531.17871	1290.89636	99.18442	-651.70703	1254.47900	162.22058	-671.77618	1266.99792	106.69282	-728.53473	1213.41199	171.46602	-750.88629	1245.36926	112.25816	264.40527	1291.99377	9.50521	367.28250	1266.80884	45.24477	464.70059	1295.83240	58.52769	580.96332	1264.66064	148.40582	595.81586	1281.30762	82.53058	621.04547	1250.87012	170.07880	661.65857	1284.39673	114.26231	-171.50385	901.43634	127.96055	65.67837	890.71637	129.09265	-181.21275	916.21918	-19.63135	81.58266	908.98834	-12.71440	-49.69397	903.89459	-54.47246	-206.85275	692.52466	93.36189	-176.65553	403.76685	-21.23343	-148.48254	295.09497	18.24512	-126.62467	60.48965	-31.30870	-134.49435	32.25144	117.60706	-70.47446	46.58437	-62.26052	-174.04312	28.15568	69.84492	109.97950	693.86066	84.23642	61.35563	415.73984	-6.89642	36.27640	304.16333	3.94802	18.41459	71.83423	-49.40322	-49.47296	50.18310	-67.72597	64.87395	33.89712	80.58632	88.11155	28.71793	31.78696	
7	0.050	-43.88771	1634.52161	-40.15438	-52.59360	1489.47620	-95.97318	-46.97816	1642.88367	72.45711	14.42549	1592.91174	-43.31227	-192.57642	1334.30469	14.37825	92.70203	1344.93689	8.55687	-63.68611	1339.10596	-37.45660	23.02279	1250.76050	-64.81881	-359.18604	1252.27954	23.08622	-455.83807	1234.13940	79.35523	-531.17688	1291.03516	99.06852	-651.82874	1254.45081	162.09119	-671.69623	1267.10437	106.68364	-728.55066	1213.58215	171.39972	-750.67639	1245.56873	112.01917	264.43683	1291.96545	9.36164	367.24030	1266.58069	45.32849	464.82245	1295.69226	58.41976	580.96332	1264.66064	148.40582	596.05817	1281.24597	82.61024	621.53680	1251.18408	170.97391	661.73743	1284.24548	114.39833	-171.52863	901.46002	127.83366	65.51196	890.70551	128.97394	-181.12801	916.21759	-19.78971	81.56310	908.99615	-12.86055	-49.66113	903.91162	-54.64906	-206.85275	692.52466	93.36189	-176.65553	403.76685	-21.23343	-148.48254	295.09497	18.24512	-126.65444	60.40761	-31.33923	-134.43486	32.32950	117.57258	-70.47446	46.58437	-62.26052	-173.97684	28.17922	69.92574	109.97950	693.86066	84.23642	61.32032	415.82211	-6.86204	36.27640	304.16333	3.94802	18.41459	71.83423	-49.40322	-49.47296	50.18310	-67.72597	64.84383	33.83701	80.60265	88.11155	28.71793	31.78696	
8	0.058	-43.75932	1634.49438	-40.32222	-52.50777	1489.49988	-96.07608	-47.06770	1642.85254	72.22408	14.58773	1592.85376	-43.59375	-192.48215	1334.37024	14.29790	92.81487	1344.93225	8.19341	-63.50435	1339.01208	-37.42826	23.07564	1250.64856	-65.09297	-351.76215	1248.50903	30.65298	-455.79120	1234.17053	78.94965	-531.18640	1291.09595	98.97139	-651.98157	1254.69873	161.75549	-671.72278	1267.18970	106.53078	-728.60144	1213.69385	171.37798	-750.61035	1245.68445	111.94769	264.51584	1291.84473	9.10933	367.24030	1266.58069	45.32849	464.82419	1295.54456	58.53295	581.00153	1264.55579	148.67920	596.24750	1281.18396	82.82466	621.75305	1251.40906	171.69525	661.75403	1284.10156	114.44085	-171.65727	901.39777	127.52910	65.56677	890.82056	128.92676	-181.24236	916.25824	-19.76429	81.51756	908.91840	-12.88295	-49.58789	903.85333	-54.80687	-206.87108	692.52850	93.24107	-176.66394	403.69592	-21.31569	-148.48254	295.09497	18.24512	-126.65444	60.40761	-31.33923	-134.36812	32.34061	117.67007	-70.48862	46.51882	-62.22900	-173.97684	28.17922	69.92574	109.73112	693.84814	84.33599	61.35563	415.73984	-6.89642	36.27640	304.16333	3.94802	18.33564	71.84258	-49.32116	-49.47296	50.18310	-67.72597	64.90597	33.79487	80.62101	88.19061	28.74009	31.82450	
