PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\Fujima_13.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1596	41	mm	120.00	1	      1596
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	-72.08828	1507.21033	-315.24805	-66.82499	1414.86621	-357.14658	-52.78952	1465.82935	-147.44792	1.42407	1496.76245	-285.32831	-180.35187	1244.96118	-265.27386	57.48880	1253.43555	-272.70065	-60.00438	1218.58154	-312.09299	20.13508	1119.31897	-326.17453	-310.62619	1223.97852	-244.83835	-418.79129	1211.95959	-193.91992	-525.20734	1248.33398	-175.33980	-600.19861	1258.84229	-78.03103	-618.73413	1244.78552	-139.41843	-650.23993	1255.58337	-57.97541	-677.25116	1257.76868	-122.35714	206.17859	1212.62036	-232.75121	295.41992	1235.74219	-181.94092	381.27264	1271.73511	-167.59911	478.45932	1297.05859	-66.61259	500.71814	1286.13843	-124.13123	528.79877	1297.59241	-42.72085	553.44482	1297.40173	-105.33921	-174.84494	861.86041	-164.91888	39.75385	867.31329	-137.17656	-159.42325	866.50677	-268.92535	57.44734	875.31702	-264.11469	-29.95354	872.57941	-305.52780	-194.93826	606.27252	-194.35925	-159.01077	389.53333	-269.08029	-144.46600	216.82329	-280.74805	-122.00567	82.05880	-312.59073	-68.79221	38.29164	-367.65268	-83.27029	38.58125	-191.26631	-130.69322	33.53860	-235.59546	95.75495	613.12244	-197.29105	61.99162	378.58386	-292.43591	47.92107	250.54039	-277.92136	26.90922	104.51042	-340.62341	-18.77862	40.10776	-206.61499	-19.84370	55.65424	-379.73956	36.09659	35.54783	-234.96799	
2	0.008	-72.36255	1507.19397	-315.18991	-66.96460	1414.91309	-357.15671	-52.78952	1465.82935	-147.44792	1.30019	1496.79346	-285.46127	-180.58572	1244.92285	-265.12305	57.48880	1253.43555	-272.70065	-60.15144	1218.61682	-312.09439	19.78855	1119.45471	-326.37164	-310.80957	1223.84302	-244.77667	-419.13837	1211.84558	-193.64069	-525.52625	1248.27747	-175.18565	-600.77924	1258.94104	-77.43485	-619.10358	1244.78271	-139.36349	-650.22833	1255.51428	-57.90845	-677.28638	1257.69800	-121.96893	206.11613	1212.69617	-232.78496	295.27246	1235.69214	-181.82167	381.16138	1271.68640	-167.66632	478.45932	1297.05859	-66.61259	500.64066	1286.13916	-124.23612	528.61176	1297.64819	-42.56644	553.33521	1297.59497	-105.20019	-174.84494	861.86041	-164.91888	39.53617	867.37531	-137.09830	-159.47920	866.49158	-268.91708	57.03057	875.49951	-264.43704	-30.03356	872.59363	-305.45999	-195.08656	606.24603	-194.15573	-159.16034	389.47250	-269.12363	-144.46600	216.82329	-280.74805	-122.00567	82.05880	-312.59073	-68.79221	38.29164	-367.65268	-83.27029	38.58125	-191.26631	-130.69322	33.53860	-235.59546	95.56136	613.13525	-197.30820	61.89278	378.62112	-292.51688	47.80220	250.50214	-277.83966	26.90922	104.51042	-340.62341	-18.85096	40.11226	-206.67166	-19.93856	55.76788	-379.65536	36.11724	35.49555	-235.00914	
3	0.017	-72.48058	1507.27271	-315.22495	-67.02150	1414.86743	-357.19379	-53.18420	1465.76355	-147.45773	0.85736	1496.72217	-285.27393	-180.73222	1244.84399	-264.94492	57.39852	1253.42883	-272.76389	-60.31210	1218.49707	-311.89914	19.45083	1119.62537	-326.42081	-311.19644	1223.79248	-244.44099	-419.36563	1211.79968	-193.70268	-526.00293	1248.07471	-174.83646	-600.88019	1258.79932	-77.17107	-619.06622	1244.60913	-139.16486	-650.60242	1255.60071	-57.68086	-677.81769	1257.66956	-121.67281	205.65639	1212.63855	-232.79939	294.91443	1235.55737	-181.70313	380.88556	1271.77441	-167.75713	478.34998	1297.12317	-66.62265	500.33774	1286.14709	-124.29299	528.04651	1297.80505	-42.77785	553.29694	1297.50562	-105.21697	-174.90791	861.65369	-164.93358	39.53617	867.37531	-137.09830	-159.88074	866.47180	-268.70453	57.03057	875.49951	-264.43704	-30.49439	872.53357	-305.37311	-195.30608	606.19647	-194.11987	-159.24605	389.50049	-269.04474	-144.47644	216.84175	-280.82321	-122.03095	82.09676	-312.54834	-68.79221	38.29164	-367.65268	-83.27029	38.58125	-191.26631	-131.24501	33.44696	-236.07813	95.43806	613.22864	-197.30397	61.89278	378.62112	-292.51688	47.67983	250.50122	-277.76071	26.90922	104.51042	-340.62341	-18.86262	40.14626	-206.72069	-19.93856	55.76788	-379.65536	36.05814	35.60712	-234.86974	
4	0.025	-72.45731	1507.25806	-315.20337	-67.15407	1414.91028	-357.02417	-53.34160	1465.84412	-147.43597	0.79111	1496.75732	-285.12933	-180.99574	1244.81616	-264.82660	57.19311	1253.53552	-272.72681	-60.42461	1218.53613	-311.96777	19.18515	1119.59009	-326.26614	-311.64969	1223.69739	-243.99300	-419.54361	1211.70154	-193.67020	-526.11273	1247.95105	-174.83203	-600.95630	1258.78735	-77.02593	-619.53131	1244.40686	-138.73549	-650.58643	1255.62769	-57.43039	-678.11462	1257.55933	-121.35152	205.42598	1212.66248	-232.74620	294.73596	1235.66785	-181.58148	380.88556	1271.77441	-167.75713	478.34998	1297.12317	-66.62265	500.25568	1286.15796	-124.22893	527.87988	1297.80481	-42.73738	553.07007	1297.46082	-104.99717	-174.90370	861.67755	-164.46892	39.47464	867.36145	-137.19827	-160.02316	866.37683	-268.44809	56.76687	875.40186	-264.34232	-30.57397	872.46765	-305.14365	-195.39465	606.23523	-193.88687	-159.24605	389.50049	-269.04474	-144.46600	216.82329	-280.74805	-122.10113	82.08796	-312.56015	-68.79221	38.29164	-367.65268	-83.27029	38.58125	-191.26631	-131.10263	33.38648	-236.17842	95.43806	613.22864	-197.30397	61.80884	378.67563	-292.33115	47.60189	250.48360	-277.87897	26.80531	104.60879	-340.59644	-18.75410	40.07845	-206.69025	-19.93856	55.76788	-379.65536	36.08743	35.66502	-234.89397	
5	0.033	-72.55264	1507.28760	-315.24432	-67.30661	1414.83081	-356.93094	-53.93611	1465.75488	-147.75439	0.80861	1496.79822	-285.00723	-181.27000	1244.92688	-264.64432	56.91619	1253.58301	-272.62912	-60.71061	1218.64783	-312.05106	18.87772	1119.57410	-326.24142	-311.90167	1223.55615	-243.89134	-419.82727	1211.59412	-193.47681	-526.35315	1247.81812	-174.68254	-601.01300	1258.69495	-76.73676	-619.66766	1244.47095	-138.48387	-650.70117	1255.42517	-57.24390	-678.30365	1257.37048	-121.15385	205.24484	1212.60120	-232.92145	294.53598	1235.83411	-181.66576	380.47406	1271.75415	-167.73415	478.06012	1297.23901	-66.81985	500.15411	1286.17712	-124.14872	527.87988	1297.80481	-42.73738	552.98608	1297.47424	-104.93260	-174.94382	861.74042	-164.31335	39.47464	867.36145	-137.19827	-160.10793	866.42438	-268.43332	56.76687	875.40186	-264.34232	-30.64989	872.49677	-305.13715	-195.40443	606.21680	-194.00412	-159.41528	389.52618	-269.04318	-144.46600	216.82329	-280.74805	-122.00567	82.05880	-312.59073	-68.79221	38.29164	-367.65268	-83.27029	38.58125	-191.26631	-131.10263	33.38648	-236.17842	95.40646	613.29150	-197.26476	61.80884	378.67563	-292.33115	47.66651	250.45691	-277.66367	26.88967	104.65933	-340.64215	-18.82129	40.19645	-206.59923	-19.93856	55.76788	-379.65536	36.08743	35.66502	-234.89397	
6	0.042	-72.78364	1507.26550	-315.22424	-67.31956	1414.83435	-356.79889	-54.29844	1465.77344	-147.68628	0.23473	1496.89661	-285.00912	-181.48912	1244.88977	-264.61932	56.34472	1253.58496	-272.54797	-61.16889	1218.73108	-312.07730	18.63528	1119.59387	-326.27200	-311.90167	1223.55615	-243.89134	-420.01547	1211.50793	-193.43051	-526.70813	1247.88586	-174.56485	-601.33191	1258.67566	-76.53960	-619.82178	1244.33374	-138.24342	-650.94879	1255.36353	-56.97816	-678.73267	1256.99634	-120.86257	205.11932	1212.60706	-232.83710	294.45212	1235.90906	-181.76727	380.18631	1271.82629	-167.91263	477.91937	1297.27222	-66.78183	499.98981	1286.29224	-124.14674	527.84332	1297.88037	-42.60538	552.98608	1297.47424	-104.93260	-175.02431	861.67267	-164.21437	39.47464	867.36145	-137.19827	-160.26491	866.32275	-268.18295	56.50922	875.32111	-264.37241	-31.17405	872.60950	-305.27750	-195.54622	606.24213	-193.58139	-159.32349	389.47073	-269.02704	-144.47644	216.84175	-280.82321	-122.00567	82.05880	-312.59073	-68.79221	38.29164	-367.65268	-83.27029	38.58125	-191.26631	-131.10019	33.23999	-236.08243	95.40646	613.29150	-197.26476	61.69557	378.69995	-292.23346	47.51046	250.40550	-277.60370	26.79452	104.69189	-340.64182	-18.82129	40.19645	-206.59923	-19.97691	55.92328	-379.72455	36.08743	35.66502	-234.89397	
7	0.050	-73.05080	1507.15625	-314.91147	-67.40402	1414.85498	-356.72552	-54.66092	1465.71362	-147.50317	0.13536	1496.83655	-284.86465	-181.64502	1244.75793	-264.64020	56.04392	1253.49170	-272.36514	-61.36711	1218.66211	-311.93826	18.63528	1119.59387	-326.27200	-312.06055	1223.54846	-243.75481	-420.08875	1211.44897	-193.37819	-527.04407	1247.78809	-174.46095	-601.52539	1258.55298	-76.29520	-620.16132	1244.21191	-138.14078	-651.32544	1255.60974	-56.46561	-678.91650	1256.82483	-120.66299	204.93750	1212.55200	-232.84351	294.16055	1236.02942	-181.96487	380.18631	1271.82629	-167.91263	477.31946	1297.83105	-65.42145	499.98981	1286.29224	-124.14674	527.33228	1297.99109	-42.29109	552.55176	1297.53125	-105.20282	-175.09560	861.61041	-164.15672	39.22800	867.40570	-137.12924	-160.36049	866.24896	-268.37723	56.36386	875.31976	-264.46841	-31.51813	872.66510	-305.19806	-195.54622	606.24213	-193.58139	-159.77165	389.50357	-269.21109	-144.48666	216.77608	-280.83078	-122.10113	82.08796	-312.56015	-68.90974	38.37575	-367.68048	-83.27029	38.58125	-191.26631	-131.17389	33.23409	-236.22444	95.40646	613.29150	-197.26476	61.68156	378.74976	-292.11624	47.51046	250.40550	-277.60370	26.79452	104.69189	-340.64182	-18.82129	40.19645	-206.59923	-19.97166	55.90121	-379.64429	36.08743	35.66502	-234.89397	
8	0.058	-73.16095	1507.18103	-314.94016	-67.66908	1414.91296	-356.72995	-54.94601	1465.69922	-147.37393	0.03792	1496.82178	-284.86780	-181.85970	1244.67798	-264.47095	55.88329	1253.62781	-272.55219	-61.77365	1218.55566	-311.78299	18.48875	1119.67236	-326.21536	-312.23883	1223.58374	-243.58000	-420.50040	1211.42224	-193.13322	-527.31342	1247.62708	-174.36230	-601.61865	1258.34253	-76.33081	-620.28717	1244.18018	-138.08189	-651.31171	1255.62573	-56.22422	-679.08307	1256.72913	-120.72778	204.80823	1212.60620	-232.88673	293.90805	1236.05688	-182.16597	380.00073	1271.82385	-167.89622	477.22781	1298.04114	-65.32330	499.85294	1286.34204	-124.18997	526.92767	1297.97180	-42.35860	552.42383	1297.51538	-105.27410	-175.09560	861.61041	-164.15672	39.13180	867.46124	-137.04913	-160.58905	866.38336	-268.27927	56.29662	875.49225	-264.67612	-31.77393	872.59967	-305.13196	-195.73186	606.32025	-193.31450	-159.78072	389.46008	-269.30215	-144.69656	216.76501	-280.94296	-122.10113	82.08796	-312.56015	-68.90974	38.37575	-367.68048	-83.27029	38.58125	-191.26631	-130.85463	33.25025	-235.74736	95.33389	613.34467	-197.20992	61.65104	378.85684	-291.71609	47.51046	250.40550	-277.60370	26.79452	104.69189	-340.64182	-18.90661	40.17059	-206.65115	-19.97691	55.92328	-379.72455	36.07545	35.71653	-234.82533	
