PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\Fujima_9.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1017	41	mm	120.00	1	      1017
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	-39.59584	1514.00684	-321.78372	-36.83694	1425.09070	-371.07385	-39.14331	1458.03113	-156.76300	29.73515	1495.81152	-286.13873	-165.63333	1250.31128	-277.12659	64.22045	1255.75732	-301.27042	-57.00742	1217.48767	-323.02365	21.72405	1112.83264	-337.64023	-299.83505	1242.24561	-260.03641	-409.96738	1236.86023	-209.24237	-515.96198	1277.12585	-200.23651	-595.97565	1303.70032	-108.30486	-607.54614	1280.77014	-169.84415	-652.08203	1295.85620	-97.34803	-664.15967	1290.72656	-165.33582	211.22292	1227.29480	-283.71338	304.27356	1252.19568	-241.95972	389.99100	1290.75488	-244.63885	503.87772	1316.97253	-160.45886	512.61249	1310.43787	-226.26109	558.55164	1313.77734	-153.99260	567.78046	1321.48438	-219.90089	-164.87138	868.34723	-158.78230	50.49965	875.22809	-133.02837	-155.20750	870.03351	-262.58707	61.64148	878.36053	-262.11978	-26.38385	874.84448	-301.59018	-193.38406	612.60541	-186.06723	-155.21587	386.80026	-257.73364	-146.23056	219.85667	-268.14655	-123.15038	82.79305	-292.06601	-72.48038	35.75726	-351.05734	-78.25729	39.77728	-176.11722	-128.30879	34.07844	-216.50655	101.45456	617.42365	-190.40669	64.79107	383.97467	-277.57925	50.16430	261.25565	-255.07474	29.45948	104.57101	-313.74774	-12.56002	38.27085	-179.00305	-20.75778	54.53703	-352.64371	41.06246	36.84090	-211.46588	
2	0.008	-39.69480	1514.04224	-321.60934	-37.01379	1425.02637	-370.58301	-39.70840	1458.01062	-156.99365	29.63727	1495.67102	-285.91336	-165.63130	1250.40552	-276.62939	64.41724	1255.99036	-300.79813	-56.95180	1217.57166	-322.85153	21.81552	1112.79688	-336.75995	-299.83801	1242.02844	-259.53513	-410.16919	1236.50208	-208.33577	-515.88416	1277.11572	-199.42107	-596.13971	1303.28333	-107.22353	-606.97980	1280.64905	-168.75459	-651.22888	1295.54150	-95.46893	-664.61530	1290.39136	-164.14272	211.51398	1227.00110	-282.85574	304.27457	1251.64148	-241.33072	390.37793	1290.42505	-243.97002	504.17175	1316.49902	-159.68123	512.46802	1310.03906	-225.46838	558.11066	1312.83142	-154.42462	567.79462	1321.20374	-219.55739	-164.76353	868.16919	-158.14970	50.32598	875.07019	-132.66006	-155.25920	870.07062	-262.47571	61.89700	878.44708	-261.80743	-26.37100	874.67474	-301.21008	-193.18272	612.58722	-186.08121	-154.98102	386.75461	-257.35220	-146.20654	219.68900	-267.92673	-123.15038	82.79305	-292.06601	-72.48796	35.72437	-350.98001	-78.08356	39.85455	-175.88600	-128.17474	34.15797	-216.46397	101.61169	617.55511	-189.97107	64.79482	383.97028	-277.40778	50.13634	261.31973	-254.76147	29.62864	104.57824	-313.61911	-12.56002	38.27085	-179.00305	-20.75778	54.53703	-352.64371	41.06246	36.84090	-211.46588	
3	0.017	-39.87148	1514.00403	-321.04285	-37.22058	1425.10645	-370.30899	-39.89649	1458.04675	-156.35637	29.61051	1495.57935	-285.68799	-165.71017	1250.44836	-276.14926	64.39554	1255.98169	-300.20407	-56.85834	1217.67151	-322.69385	21.65961	1112.72021	-336.71304	-300.20486	1241.65442	-258.67590	-409.86887	1236.34326	-207.85797	-515.97949	1276.78369	-198.08487	-596.14899	1303.30371	-106.24631	-606.94525	1280.11829	-167.11090	-651.35852	1295.23889	-94.28542	-664.47809	1289.97681	-162.96356	211.36427	1226.81396	-282.42395	304.12042	1251.28577	-240.56253	390.18848	1290.10864	-243.59213	504.20517	1315.94299	-159.32918	512.66846	1309.91333	-225.41797	557.84265	1312.04858	-152.78976	567.88849	1320.82373	-218.99124	-165.22316	868.25354	-158.03166	50.34525	875.01929	-132.31032	-155.17316	870.03833	-262.33487	62.06476	878.45734	-261.47165	-26.23866	874.72699	-300.98138	-193.01546	612.58582	-185.90491	-155.01654	386.77499	-257.11414	-146.18042	219.55634	-267.47357	-123.20923	82.84394	-291.91742	-72.44624	35.80024	-350.75476	-78.08356	39.85455	-175.88600	-128.26137	34.13327	-216.46873	101.49029	617.54785	-189.43692	64.77564	383.93564	-276.52390	50.12360	261.15173	-254.53894	30.10025	104.68231	-313.59180	-12.56173	38.27119	-178.97672	-20.65944	54.58489	-352.64624	41.06246	36.84090	-211.46588	
4	0.025	-39.89307	1513.97424	-321.01819	-37.37017	1425.15454	-370.12048	-39.19206	1458.04578	-155.34775	29.52876	1495.60400	-285.41840	-165.71567	1250.45984	-275.85764	64.15802	1255.75073	-299.62656	-56.90555	1217.59058	-322.36630	21.58035	1112.81921	-336.39188	-300.12115	1241.77490	-258.32019	-409.90021	1236.43774	-207.34604	-515.92700	1276.82458	-197.56444	-595.72357	1303.17639	-105.15573	-606.86279	1280.21362	-166.56708	-650.89563	1294.94641	-93.24412	-664.09833	1289.84863	-161.41360	211.07492	1226.69348	-281.98105	304.15317	1251.25842	-240.25533	390.04755	1289.88635	-243.05557	503.60394	1315.69812	-158.87019	512.79095	1309.79333	-224.96005	557.76135	1311.48181	-152.77145	567.90277	1320.85559	-218.48140	-165.27995	868.24841	-157.91205	50.28623	875.17664	-132.19086	-155.25833	870.06744	-262.15161	61.86471	878.40460	-261.35422	-26.31297	874.81238	-300.77591	-192.94987	612.54138	-185.55936	-154.87910	386.69131	-256.60855	-146.16093	219.60165	-267.22198	-123.21157	82.81696	-291.84698	-72.47047	35.87188	-350.60947	-78.09734	39.71712	-175.67725	-128.03342	34.19310	-216.29532	101.38656	617.64282	-188.87318	64.87639	383.76294	-276.27036	49.89959	261.26111	-253.86911	29.93982	104.55558	-313.32907	-12.56173	38.27119	-178.97672	-20.65944	54.58489	-352.64624	41.06246	36.84090	-211.46588	
5	0.033	-40.09471	1514.09912	-320.78696	-37.58218	1425.08130	-369.86636	-39.44326	1457.87695	-156.20665	29.32212	1495.64746	-285.31445	-165.71423	1250.39172	-275.52438	64.10792	1255.63770	-299.30743	-56.71918	1217.56714	-321.82224	21.75120	1112.94189	-335.93607	-300.30759	1241.77979	-257.58185	-409.82541	1236.41174	-206.41847	-516.00751	1276.80786	-196.40881	-595.35638	1303.05542	-104.13627	-606.78693	1280.06885	-165.52617	-650.81372	1294.83008	-91.94584	-664.28503	1289.78174	-160.38861	211.14769	1226.56287	-281.60440	303.68634	1251.27747	-239.41295	389.47458	1289.57007	-242.34911	503.80255	1314.74854	-158.38524	512.95465	1309.69104	-224.71820	558.35773	1311.21350	-151.44678	568.28888	1320.12122	-217.78491	-165.25584	868.17682	-157.82101	50.21982	875.13385	-132.08566	-155.16974	870.03937	-261.95938	61.73842	878.35968	-261.26785	-26.30715	874.80170	-300.67868	-192.92287	612.32526	-184.87851	-154.65804	386.74878	-256.11169	-145.92409	219.58870	-267.00510	-123.09442	82.81807	-291.52914	-72.40744	35.92062	-350.53189	-77.88446	39.66532	-175.37921	-127.89426	34.21804	-216.36351	101.28261	617.56836	-188.78444	65.06303	383.85205	-276.00870	49.89959	261.26111	-253.86911	30.04060	104.55221	-313.26923	-12.56002	38.27085	-179.00305	-20.41018	54.56169	-352.53943	41.06246	36.84090	-211.46588	
6	0.042	-40.23225	1513.94153	-320.38019	-37.60913	1424.86841	-369.42200	-39.68820	1458.19751	-155.68306	29.26728	1495.62903	-285.28781	-165.79533	1250.43835	-275.19449	64.18481	1255.75146	-299.13348	-56.62859	1217.41357	-321.37549	21.76941	1113.01453	-335.65515	-300.59424	1241.72217	-256.94299	-409.52600	1236.37939	-205.80333	-515.88165	1276.84229	-195.85060	-595.14948	1302.65295	-103.22705	-606.50470	1279.83325	-164.19597	-650.68396	1294.54211	-91.24450	-664.50922	1290.00549	-159.75702	210.91115	1226.54614	-281.15442	303.70587	1251.22473	-239.35205	389.56058	1289.69690	-242.06232	504.26608	1314.30627	-158.06075	512.95496	1309.37463	-224.02975	558.20361	1311.32666	-150.60262	568.22223	1320.12000	-217.28281	-165.38306	868.26123	-157.85213	50.00721	875.03674	-131.79774	-155.25908	870.04291	-261.71838	62.03742	878.33514	-260.54504	-25.99726	874.56061	-300.20319	-192.90207	612.26447	-184.80333	-154.47661	386.72336	-255.52325	-145.78745	219.56319	-266.93506	-122.65922	82.93697	-291.29993	-72.40744	35.92062	-350.53189	-77.88446	39.66532	-175.37921	-127.89426	34.21804	-216.36351	101.11213	617.49438	-187.95966	64.89037	383.80652	-275.62183	49.89959	261.26111	-253.86911	30.04060	104.55221	-313.26923	-12.56173	38.27119	-178.97672	-20.31116	54.70840	-352.56085	41.05335	36.78957	-211.51909	
7	0.050	-40.59448	1513.84192	-319.98575	-37.73661	1424.74939	-369.20251	-39.83478	1458.25391	-155.57335	29.13593	1495.63367	-285.03467	-165.81447	1250.42102	-274.84787	64.20416	1255.72571	-298.54547	-56.64662	1217.48560	-321.03241	21.51826	1113.26123	-335.48166	-300.37045	1241.87781	-256.63205	-409.60059	1236.33752	-205.09706	-516.00458	1276.89233	-195.01791	-595.10107	1302.59302	-102.19640	-606.53668	1279.98267	-163.29774	-649.83002	1294.29688	-90.40540	-663.87738	1289.57983	-158.20258	211.01842	1226.45056	-280.93454	303.70001	1251.17566	-238.64107	390.19296	1289.50439	-241.28371	504.34985	1314.11121	-157.21272	512.80402	1309.01990	-223.43192	558.15698	1311.16309	-150.35652	568.30292	1319.87610	-217.12560	-165.38306	868.26123	-157.85213	49.91577	875.00623	-131.78223	-155.24219	870.06555	-261.82309	61.90698	878.20087	-260.52701	-26.00459	874.50110	-299.95795	-192.83176	612.19678	-184.32544	-154.42007	386.63440	-255.33510	-145.81270	219.63159	-266.90189	-122.72578	82.98560	-291.31555	-72.44227	35.98337	-350.52505	-77.88446	39.66532	-175.37921	-127.81737	34.23559	-216.26941	100.86365	617.51904	-187.42764	65.24287	383.76584	-274.94199	49.90127	261.25522	-253.56908	30.04060	104.55221	-313.26923	-12.56002	38.27085	-179.00305	-20.31116	54.70840	-352.56085	41.05335	36.78957	-211.51909	
8	0.058	-41.04349	1513.49561	-319.72263	-37.83722	1424.62305	-369.03918	-39.90948	1458.29578	-155.52499	29.05429	1495.65552	-284.85913	-165.75294	1250.41907	-274.27173	64.04343	1255.74792	-297.65335	-56.72065	1217.55078	-320.76245	21.47423	1113.50647	-335.29282	-300.34686	1242.11633	-256.06851	-409.62930	1236.43579	-204.63133	-515.96301	1277.31482	-193.99245	-595.07074	1302.43005	-100.88834	-606.67175	1280.10059	-162.65665	-649.25391	1293.91943	-89.20605	-663.84283	1289.33618	-157.29280	211.27396	1226.38525	-280.03012	303.79135	1250.97839	-238.08415	390.35352	1289.31934	-240.74051	503.83801	1313.95093	-156.61383	512.81116	1308.81116	-223.43513	558.17139	1310.56311	-150.00496	568.32910	1319.37439	-216.72627	-165.55710	868.26965	-157.73282	49.38769	874.90271	-131.56911	-155.06470	869.93292	-261.63403	61.90698	878.20087	-260.52701	-25.81949	874.27014	-299.80432	-192.70108	612.16705	-184.30814	-154.37175	386.57288	-255.21526	-145.81270	219.63159	-266.90189	-122.65922	82.93697	-291.29993	-72.34331	35.94979	-350.46964	-77.88446	39.66532	-175.37921	-127.81737	34.23559	-216.26941	100.98606	617.56226	-186.89647	64.60905	384.06027	-274.00681	49.81245	261.32065	-253.26073	30.15177	104.53690	-313.19098	-12.56173	38.27119	-178.97672	-20.31116	54.70840	-352.56085	40.99091	36.72589	-211.49994	
