PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\JAVA_M\Men_Action_4.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1345	41	mm	120.00	1	      1345
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	-102.98122	1650.37048	-58.44645	-103.12450	1514.89868	-127.11109	-116.45048	1632.95459	52.36852	-39.80320	1616.88696	-65.46737	-272.52408	1341.32654	-52.44190	42.87035	1354.57385	-60.75182	-113.22000	1317.44824	-111.69691	-64.60605	1193.74927	-119.30581	-481.37915	1216.25000	16.43799	-514.98163	1189.98596	52.63976	-606.15747	1236.13159	64.36125	-803.87524	1249.38220	189.72467	-806.35590	1232.25525	125.15311	-742.86542	1209.96814	189.28084	-762.30273	1193.97925	118.18304	253.40602	1250.73438	8.63618	285.09607	1223.17700	47.05223	390.03693	1259.94556	65.94675	503.62869	1232.63110	180.81058	521.49738	1234.87659	110.57376	559.63995	1262.40503	194.85118	574.96478	1274.27527	122.99418	-215.64456	961.89563	104.32752	-24.29785	952.66516	92.57777	-267.79379	964.34680	2.80265	-1.85643	958.52881	-34.24716	-128.77727	956.21997	-73.43983	-285.94025	709.75366	51.33989	-249.41016	435.12234	7.47934	-228.44650	295.67078	5.69277	-200.38928	52.76467	-75.94418	-145.14841	57.14247	-110.83861	-201.42401	35.32116	73.54292	-242.15865	28.39228	36.75323	24.43785	680.46808	52.82164	-1.93599	438.43622	-31.34700	-9.60974	308.64819	-21.56116	-56.32271	66.43669	-94.72426	-46.30762	37.04479	59.07317	-113.31824	63.07975	-120.62421	-0.18817	31.09575	10.63008	
2	0.008	-102.98352	1650.36438	-58.54634	-103.08648	1514.63635	-127.10674	-116.26056	1632.96106	52.31416	-39.76778	1616.77271	-65.48470	-272.52408	1341.32654	-52.44190	42.91793	1354.59009	-60.82557	-113.27312	1317.52917	-111.73448	-64.56158	1193.78186	-119.22732	-481.37915	1216.25000	16.43799	-515.13385	1190.23047	52.74911	-606.19031	1236.28638	64.38853	-803.94049	1249.83093	189.62473	-806.45947	1232.85364	124.93095	-743.30029	1210.29114	189.39041	-762.15399	1194.04297	118.13760	253.50145	1251.03979	8.46020	285.11752	1223.34387	47.09412	390.02988	1260.36108	65.61487	503.69617	1233.07996	180.77133	521.57025	1235.26050	110.51078	559.83759	1262.96777	194.49237	575.07678	1274.67151	122.61975	-215.67516	961.87213	104.31429	-24.29785	952.66516	92.57777	-267.80338	964.31952	2.92138	-1.85643	958.52881	-34.24716	-128.77727	956.21997	-73.43983	-285.80380	709.74335	51.26792	-249.46001	435.16422	7.61761	-228.44650	295.67078	5.69277	-200.52707	52.69597	-75.99237	-145.14841	57.14247	-110.83861	-201.44067	35.35528	73.60850	-242.19470	28.37106	36.75402	24.43785	680.46808	52.82164	-1.93599	438.43622	-31.34700	-9.60974	308.64819	-21.56116	-56.32271	66.43669	-94.72426	-46.32600	37.04659	59.15665	-113.31824	63.07975	-120.62421	-0.18817	31.09575	10.63008	
3	0.017	-102.89721	1650.42944	-58.83984	-103.08648	1514.63635	-127.10674	-116.26056	1632.96106	52.31416	-39.64933	1616.69775	-65.68306	-272.37943	1341.29492	-52.46531	42.91793	1354.59009	-60.82557	-113.22000	1317.44824	-111.69691	-64.51105	1193.71179	-119.22958	-481.15195	1216.46899	16.41910	-515.11438	1190.43372	52.89483	-606.14514	1236.47852	64.33177	-803.91968	1250.13013	189.61150	-806.45184	1233.09119	124.97689	-743.33826	1210.39966	189.27591	-762.45044	1194.33740	118.21625	253.50398	1251.11731	8.32552	285.02151	1223.67761	46.93309	390.29483	1260.46997	65.69344	504.09988	1233.60791	180.51837	521.71655	1235.85461	110.22883	560.27148	1263.78076	194.59453	575.44312	1275.48975	123.03416	-215.67590	961.97900	104.33540	-24.29785	952.66516	92.57777	-267.68759	964.30652	2.83175	-1.97147	958.54010	-34.31593	-128.77727	956.21997	-73.43983	-285.80380	709.74335	51.26792	-249.46001	435.16422	7.61761	-228.44650	295.67078	5.69277	-200.47630	52.72828	-75.92411	-145.14841	57.14247	-110.83861	-201.42401	35.32116	73.54292	-242.25648	28.42123	36.60860	24.51969	680.44818	52.73181	-1.93599	438.43622	-31.34700	-9.55865	308.57626	-21.59065	-56.32271	66.43669	-94.72426	-46.32600	37.04659	59.15665	-113.31824	63.07975	-120.62421	-0.18817	31.09575	10.63008	
4	0.025	-102.79413	1650.40747	-59.06568	-103.25103	1514.51624	-127.03120	-116.40125	1633.03467	52.15778	-39.67414	1616.61475	-66.06928	-272.33878	1341.29126	-52.54176	42.80179	1354.70605	-61.08990	-113.22000	1317.44824	-111.69691	-64.51105	1193.71179	-119.22958	-481.04602	1216.63806	16.46348	-514.76819	1191.25916	53.76154	-606.33466	1236.94116	64.24929	-804.04944	1250.36133	189.69534	-806.67468	1233.40198	125.05109	-743.00958	1210.58423	189.43184	-762.87305	1194.72510	118.20350	253.62733	1251.26196	8.23420	285.05981	1223.86365	46.88786	390.17978	1260.32532	66.07131	504.19824	1233.94446	180.60971	521.64667	1236.29260	110.20404	560.09174	1263.72485	194.45680	575.36731	1275.77332	122.79366	-215.63454	961.88202	104.42220	-24.29785	952.66516	92.57777	-267.80338	964.31952	2.92138	-1.85643	958.52881	-34.24716	-128.77727	956.21997	-73.43983	-285.84610	709.74060	51.35886	-249.46001	435.16422	7.61761	-228.46240	295.58655	5.60089	-200.46596	52.79224	-75.99569	-145.14841	57.14247	-110.83861	-201.42401	35.32116	73.54292	-242.32489	28.26440	36.72265	24.43785	680.46808	52.82164	-1.93599	438.43622	-31.34700	-9.55865	308.57626	-21.59065	-56.32271	66.43669	-94.72426	-46.32600	37.04659	59.15665	-113.31824	63.07975	-120.62421	-0.25391	30.97407	10.60653	
5	0.033	-102.69599	1650.29187	-59.36781	-103.29187	1514.38855	-127.06930	-116.42434	1633.08728	52.10638	-39.65438	1616.58582	-66.18259	-272.37943	1341.29492	-52.46531	42.84788	1354.73303	-61.15374	-113.10538	1317.44629	-111.77238	-64.56158	1193.78186	-119.22732	-481.20819	1216.92126	16.34068	-514.76819	1191.25916	53.76154	-606.49817	1237.32617	64.27585	-804.00427	1250.54150	189.75229	-806.61676	1233.64124	124.96208	-743.36658	1210.91785	189.23866	-762.94812	1195.12610	118.14365	253.73044	1251.53101	8.08872	285.35989	1224.29700	46.64980	390.82263	1261.46558	64.97874	504.20093	1234.84180	179.95694	521.75433	1236.78650	109.73206	560.48804	1264.57019	193.98218	575.26099	1276.41235	122.13925	-215.67554	962.04224	104.58323	-24.29785	952.66516	92.57777	-267.80338	964.31952	2.92138	-1.85643	958.52881	-34.24716	-128.67030	956.32825	-73.48624	-285.85208	709.68146	51.33069	-249.46001	435.16422	7.61761	-228.45050	295.62299	5.57546	-200.52420	52.84482	-76.06607	-145.14841	57.14247	-110.83861	-201.43407	35.37506	73.67059	-242.29553	28.32892	36.59991	24.43785	680.46808	52.82164	-1.93599	438.43622	-31.34700	-9.60974	308.64819	-21.56116	-56.38345	66.40032	-94.63630	-46.32600	37.04659	59.15665	-113.31824	63.07975	-120.62421	-0.18817	31.09575	10.63008	
6	0.042	-102.43080	1650.19165	-59.66609	-103.20666	1514.24609	-127.22889	-116.43933	1633.14502	51.86663	-39.51296	1616.47986	-66.36772	-272.15775	1341.32581	-52.45752	42.84788	1354.73303	-61.15374	-113.10538	1317.44629	-111.77238	-64.42743	1193.65564	-119.21723	-481.40100	1217.15283	16.16792	-514.77185	1191.31494	53.81987	-606.32166	1237.54126	64.44662	-804.16260	1250.92749	189.67139	-806.60602	1234.10144	124.95219	-743.10345	1211.13269	189.58910	-763.11719	1195.67773	117.94320	253.57309	1251.77673	7.97915	285.29514	1224.54895	46.48303	390.70203	1261.51343	65.27926	504.25494	1235.23071	179.94478	522.27942	1237.29651	109.70943	560.42719	1265.13379	193.23456	575.36169	1277.01196	122.07673	-215.68605	961.95068	104.45554	-24.29785	952.66516	92.57777	-267.80338	964.31952	2.92138	-1.85643	958.52881	-34.24716	-128.77727	956.21997	-73.43983	-285.84610	709.74060	51.35886	-249.46001	435.16422	7.61761	-228.46240	295.58655	5.60089	-200.46309	52.78562	-75.93953	-145.14841	57.14247	-110.83861	-201.43407	35.37506	73.67059	-242.20506	28.46217	36.65367	24.43785	680.46808	52.82164	-1.93599	438.43622	-31.34700	-9.60974	308.64819	-21.56116	-56.32271	66.43669	-94.72426	-46.30762	37.04479	59.07317	-113.31824	63.07975	-120.62421	-0.19811	31.15981	10.68511	
7	0.050	-102.28275	1650.19067	-59.77726	-103.24870	1514.06519	-127.23894	-116.52300	1633.28027	51.51138	-39.70330	1616.48914	-66.47901	-272.13461	1341.31653	-52.46114	42.84788	1354.73303	-61.15374	-113.10538	1317.44629	-111.77238	-64.42743	1193.65564	-119.21723	-481.54431	1217.36475	16.09944	-515.24554	1191.23511	52.99100	-606.52289	1237.73035	64.54501	-804.26941	1251.24536	189.87141	-806.69977	1234.42542	124.97363	-743.06067	1211.70715	188.97841	-762.88885	1196.17810	118.07195	253.89801	1251.90234	7.98796	285.49393	1225.01611	46.24980	390.99420	1261.86377	64.74487	504.43341	1235.72681	179.83559	522.31946	1237.50146	109.36700	560.75385	1265.68701	193.56218	575.77490	1277.58289	121.92023	-215.57922	961.89655	104.69589	-24.29785	952.66516	92.57777	-267.71652	964.35199	2.87525	-1.77531	958.54755	-34.28128	-128.51985	956.21185	-73.06789	-285.84610	709.74060	51.35886	-249.46001	435.16422	7.61761	-228.44650	295.67078	5.69277	-200.53975	52.81318	-75.99104	-145.14841	57.14247	-110.83861	-201.44067	35.35528	73.60850	-242.07426	28.46535	36.79421	24.43785	680.46808	52.82164	-1.80805	438.43881	-31.32638	-9.60974	308.64819	-21.56116	-56.32271	66.43669	-94.72426	-46.32600	37.04659	59.15665	-113.31824	63.07975	-120.62421	-0.18817	31.09575	10.63008	
8	0.058	-102.33118	1650.18079	-59.92982	-103.30322	1513.95703	-127.14562	-116.32308	1633.26965	51.31915	-39.60931	1616.59717	-66.64698	-272.15775	1341.32581	-52.45752	42.84788	1354.73303	-61.15374	-113.10538	1317.44629	-111.77238	-64.42743	1193.65564	-119.21723	-481.55255	1217.59094	16.42156	-515.24554	1191.23511	52.99100	-606.60498	1238.19641	64.44070	-804.12317	1251.56909	189.73074	-806.76520	1234.92432	125.17129	-743.15485	1211.96753	188.66069	-762.46552	1196.47388	118.16663	253.95996	1252.16052	8.02610	285.59689	1225.17517	46.09166	391.24612	1262.46960	64.77425	504.74506	1236.09521	179.35826	522.19067	1238.10669	108.86207	561.16241	1266.52441	193.15883	575.56641	1277.85364	121.55587	-215.68605	961.95068	104.45554	-24.29785	952.66516	92.57777	-267.68759	964.30652	2.83175	-1.77531	958.54755	-34.28128	-128.51985	956.21185	-73.06789	-285.84610	709.74060	51.35886	-249.46001	435.16422	7.61761	-228.45050	295.62299	5.57546	-200.53975	52.81318	-75.99104	-145.14841	57.14247	-110.83861	-201.42401	35.32116	73.54292	-242.16008	28.43490	36.66009	24.43785	680.46808	52.82164	-1.83065	438.41006	-31.33013	-9.55865	308.57626	-21.59065	-56.32271	66.43669	-94.72426	-46.30762	37.04479	59.07317	-113.31824	63.07975	-120.62421	-0.19296	31.02277	10.60271	
