PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\JAVA_M\Men_Action_11.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1568	41	mm	120.00	1	      1568
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	17.01898	1654.71667	7.08001	19.82031	1523.27246	-69.44432	-0.25889	1630.15857	116.41391	80.59266	1622.14380	-0.47756	-143.61098	1344.41052	-13.17607	162.34338	1360.87512	-9.58111	13.25957	1321.88745	-59.44723	63.82978	1199.50647	-67.79349	-357.75476	1210.16687	32.06320	-391.19193	1184.88184	59.84013	-482.72226	1228.96594	58.26794	-630.18701	1193.40479	163.39194	-642.83923	1175.10767	92.34574	-703.36761	1202.16174	170.03430	-702.70874	1185.41565	104.72909	373.80899	1234.57019	53.85460	406.48929	1211.65881	87.93324	513.56250	1243.51135	99.66513	626.52618	1213.49231	212.01978	644.98169	1209.34863	141.98137	685.13318	1229.07922	227.97957	706.99475	1235.72620	156.85759	-85.99914	962.09705	156.90764	104.93903	953.52332	147.08069	-135.61938	966.24457	54.06441	129.04442	962.23584	20.02685	3.24957	960.21289	-21.02482	-153.78508	709.42944	96.42081	-118.56310	435.91559	51.99275	-98.72130	296.56894	51.60726	-67.54160	52.85185	-27.06548	-12.17196	56.02108	-58.16950	-72.71134	36.38253	123.79395	-113.08655	28.53741	83.71246	159.79648	683.67444	104.48775	137.66824	440.65976	26.61990	132.86711	310.93213	37.40273	88.04008	66.49259	-29.94945	104.38313	38.04977	123.25047	24.53526	60.86368	-53.04710	148.08568	32.70231	73.39874	
2	0.008	16.96191	1654.70300	7.05403	19.77755	1523.39026	-69.39692	-0.25889	1630.15857	116.41391	80.54958	1622.17822	-0.35821	-143.61098	1344.41052	-13.17607	162.33940	1360.93555	-9.59501	13.25957	1321.88745	-59.44723	63.58804	1199.46655	-67.80110	-357.89667	1210.14087	32.18541	-391.18188	1184.98657	59.88722	-482.83401	1228.91418	58.47287	-630.25421	1193.33740	163.60678	-642.84857	1175.05554	92.44358	-703.32104	1202.17444	170.27420	-702.47015	1185.42322	105.06063	373.80899	1234.57019	53.85460	406.35641	1211.55054	87.93600	513.38763	1243.44067	99.53587	626.52618	1213.49231	212.01978	644.98169	1209.34863	141.98137	685.17450	1229.02100	228.10974	706.99475	1235.72620	156.85759	-86.07745	962.18127	156.89304	104.83477	953.51520	147.20839	-135.76041	966.27539	54.16148	129.04791	962.35223	20.07864	3.24051	960.16132	-21.01236	-153.84755	709.47101	96.48655	-118.54979	435.85303	52.06378	-98.80164	296.55334	51.59648	-67.61295	52.89281	-26.98136	-12.10322	56.04388	-58.31665	-72.71134	36.38253	123.79395	-113.12702	28.46278	83.66421	159.79648	683.67444	104.48775	137.62172	440.59192	26.74084	132.85194	310.99878	37.44452	88.04008	66.49259	-29.94945	104.28880	37.95650	123.27360	24.53526	60.86368	-53.04710	148.08568	32.70231	73.39874	
3	0.017	16.95561	1654.66016	7.06580	19.73664	1523.48816	-69.28441	-0.25889	1630.15857	116.41391	80.41354	1622.06030	-0.32741	-143.61098	1344.41052	-13.17607	162.34338	1360.87512	-9.58111	13.25957	1321.88745	-59.44723	63.58804	1199.46655	-67.80110	-357.94821	1209.92761	32.43520	-391.18188	1184.98657	59.88722	-482.92117	1228.97363	58.82626	-630.25421	1193.33740	163.60678	-642.73041	1174.99927	92.69898	-703.32465	1202.16309	170.34503	-702.52673	1185.40295	105.30769	373.89294	1234.56128	53.71912	406.20242	1211.53381	87.75432	513.37775	1243.35291	99.56236	626.55988	1213.40881	211.98784	644.98169	1209.34863	141.98137	685.13318	1229.07922	227.97957	706.98969	1235.69080	156.83174	-86.22668	962.17224	157.09532	104.69991	953.53589	147.35506	-135.77885	966.26849	54.30872	129.03987	962.29596	20.05198	3.24051	960.16132	-21.01236	-153.92604	709.49194	96.64616	-118.54979	435.85303	52.06378	-98.72130	296.56894	51.60726	-67.53075	52.95525	-27.02685	-12.17196	56.02108	-58.16950	-72.82881	36.30593	123.85204	-113.08335	28.56237	83.61668	159.79648	683.67444	104.48775	137.66824	440.65976	26.61990	132.86711	310.93213	37.40273	88.45251	66.65372	-29.90098	104.87434	38.33099	123.24895	24.53526	60.86368	-53.04710	147.92192	32.63029	73.36530	
4	0.025	16.91958	1654.63574	7.18522	19.74140	1523.45605	-69.17450	-0.28197	1630.24585	116.52164	80.40195	1622.21619	-0.27049	-143.68454	1344.44287	-13.21431	162.25975	1360.82129	-9.54837	13.25957	1321.88745	-59.44723	63.58804	1199.46655	-67.80110	-358.02567	1210.12891	32.43059	-391.18188	1184.98657	59.88722	-482.96817	1228.99207	58.93521	-630.25421	1193.33740	163.60678	-642.73041	1174.99927	92.69898	-703.38251	1201.99597	170.52359	-702.59735	1185.37976	105.38258	373.89294	1234.56128	53.71912	406.20242	1211.53381	87.75432	513.37775	1243.35291	99.56236	626.52618	1213.49231	212.01978	644.87244	1209.18396	141.85081	685.17450	1229.02100	228.10974	706.82922	1235.64539	156.79370	-86.22668	962.17224	157.09532	104.69991	953.53589	147.35506	-135.77885	966.26849	54.30872	128.99535	962.28143	20.10109	3.08678	960.20190	-20.89085	-154.03767	709.47058	96.79204	-118.54979	435.85303	52.06378	-98.80164	296.55334	51.59648	-67.54160	52.85185	-27.06548	-12.17196	56.02108	-58.16950	-72.77045	36.34753	123.82862	-113.12702	28.46278	83.66421	159.57243	683.64758	104.69137	137.54811	440.63428	26.66904	132.85194	310.99878	37.44452	88.40722	66.71027	-29.92408	104.87434	38.33099	123.24895	24.53526	60.86368	-53.04710	147.99945	32.68251	73.34518	
5	0.033	16.82527	1654.62207	7.29900	19.71168	1523.53992	-68.98215	-0.33811	1630.10767	116.57333	80.34579	1622.12598	-0.20985	-143.94952	1344.51550	-13.06921	162.07823	1360.92224	-9.65904	12.85934	1321.87463	-59.30929	63.46443	1199.51086	-67.80788	-358.02139	1210.19910	32.49269	-391.14560	1184.96484	60.23698	-482.96817	1228.99207	58.93521	-630.49182	1193.35718	163.79169	-642.72839	1175.06287	92.73641	-703.43884	1202.02393	170.67490	-702.64624	1185.47729	105.38903	373.58591	1234.34253	53.79978	406.20242	1211.53381	87.75432	513.10419	1243.30139	99.38432	626.39172	1213.09570	211.76031	644.87244	1209.18396	141.85081	685.21533	1229.10254	228.23914	706.82178	1235.57861	156.77640	-86.49051	962.26398	157.12253	104.27216	953.43604	147.52895	-136.14333	966.30780	54.37371	128.98451	962.32556	20.20602	2.88059	960.13080	-20.97812	-154.12325	709.39368	96.70988	-118.60922	435.80585	52.12746	-98.12093	296.42340	51.30734	-67.54160	52.85185	-27.06548	-12.24082	56.10025	-58.16798	-72.77045	36.34753	123.82862	-113.12702	28.46278	83.66421	159.63434	683.67969	104.78210	137.55386	440.64334	26.68715	132.85194	310.99878	37.44452	88.45251	66.65372	-29.90098	104.87434	38.33099	123.24895	24.53526	60.86368	-53.04710	148.00815	32.65010	73.41885	
6	0.042	16.80472	1654.66736	7.41228	19.69160	1523.61121	-69.01903	-0.42743	1630.06201	116.59416	80.19886	1622.05627	-0.08532	-144.25563	1344.53162	-12.69357	162.04922	1360.82410	-9.48347	12.78580	1321.84558	-59.22418	63.46443	1199.51086	-67.80788	-358.06503	1210.21375	32.63188	-391.18707	1184.96143	60.40081	-482.92883	1229.00012	59.11458	-630.49182	1193.35718	163.79169	-642.77032	1175.13794	93.00377	-703.59314	1202.02466	170.86499	-702.64624	1185.47729	105.38903	373.54132	1234.15723	53.77049	406.39615	1211.48511	87.50656	513.07379	1243.27942	99.26286	626.39172	1213.09570	211.76031	644.94269	1209.12671	141.65819	685.29944	1229.05151	228.17612	706.73865	1235.43542	156.65527	-86.49051	962.26398	157.12253	104.38883	953.55731	147.61707	-136.14333	966.30780	54.37371	128.88881	962.30127	20.24702	2.87411	960.05847	-20.83512	-154.12325	709.39368	96.70988	-118.61738	435.74274	52.13913	-98.21889	296.40384	51.29841	-67.45939	52.91428	-27.11097	-12.24082	56.10025	-58.16798	-72.82881	36.30593	123.85204	-113.14004	28.41076	83.63828	159.53696	683.69519	104.89339	137.47256	440.55325	26.82967	132.80565	310.95471	37.53451	88.40722	66.71027	-29.92408	104.87434	38.33099	123.24895	24.53526	60.86368	-53.04710	147.92192	32.63029	73.36530	
7	0.050	16.91830	1654.59644	7.67259	19.64420	1523.60828	-69.02528	-0.52201	1630.05786	116.80201	80.26776	1622.14124	0.07113	-144.28021	1344.55408	-12.61170	162.00578	1360.90283	-9.51561	12.77420	1321.90405	-59.20385	63.46443	1199.51086	-67.80788	-358.18747	1210.11536	32.87494	-391.18707	1184.96143	60.40081	-482.87231	1228.96765	59.21769	-630.55896	1193.28979	164.00650	-642.77032	1175.13794	93.00377	-703.48645	1202.12073	171.13927	-702.72437	1185.55994	105.68559	373.54132	1234.15723	53.77049	406.27231	1211.50330	87.51038	513.07379	1243.27942	99.26286	626.42822	1213.02380	211.74420	644.79681	1208.98572	141.70378	685.23621	1228.96509	228.24054	706.74390	1235.34717	156.51982	-86.53534	962.10864	157.19574	104.38883	953.55731	147.61707	-136.15953	966.26923	54.54316	128.86227	962.23230	20.44640	2.87411	960.05847	-20.83512	-154.12340	709.46783	96.85523	-118.60922	435.80585	52.12746	-98.21889	296.40384	51.29841	-67.45939	52.91428	-27.11097	-12.24082	56.10025	-58.16798	-72.71134	36.38253	123.79395	-113.12702	28.46278	83.66421	159.53696	683.69519	104.89339	137.23952	440.68259	26.69400	132.80565	310.95471	37.53451	88.04008	66.49259	-29.94945	104.28880	37.95650	123.27360	24.53526	60.86368	-53.04710	147.99945	32.68251	73.34518	
8	0.058	16.91937	1654.59302	7.76798	19.59170	1523.60205	-68.69118	-0.52201	1630.05786	116.80201	80.32229	1622.13269	0.14867	-144.36530	1344.68250	-12.53500	162.00414	1360.92871	-9.42759	12.65802	1321.90662	-59.14587	63.38057	1199.50500	-67.69006	-358.18747	1210.11536	32.87494	-391.36597	1185.07690	60.46501	-483.02863	1228.95410	59.49011	-630.55896	1193.28979	164.00650	-642.77716	1175.19629	93.02259	-703.59320	1202.21350	171.58545	-702.66687	1185.64197	105.76574	373.47391	1234.10767	53.66022	405.96561	1211.42749	87.69356	513.07379	1243.27942	99.26286	626.42822	1213.02380	211.74420	644.72247	1208.90955	141.82454	685.03143	1228.89685	228.16273	706.74390	1235.34717	156.51982	-86.60061	962.03619	157.17351	104.27028	953.51355	147.58353	-136.15953	966.26923	54.54316	128.64899	962.25275	20.39250	2.77192	960.08704	-20.83782	-154.25897	709.54730	96.81793	-118.60922	435.80585	52.12746	-98.21889	296.40384	51.29841	-67.45939	52.91428	-27.11097	-12.17196	56.02108	-58.16950	-72.71134	36.38253	123.79395	-113.12702	28.46278	83.66421	159.38234	683.63568	104.92046	137.13109	440.75903	26.61968	132.80565	310.95471	37.53451	87.98875	66.55412	-29.97209	104.38313	38.04977	123.25047	24.53526	60.86368	-53.04710	148.00815	32.65010	73.41885	
