PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\JAVA_M\Men_Action_14.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1816	41	mm	120.00	1	      1816
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	49.89755	1653.75928	-226.78232	49.44817	1517.97913	-294.23615	35.05344	1636.56995	-116.07348	113.03436	1620.33691	-233.32607	-110.92924	1350.01465	-228.74591	182.87112	1364.96619	-233.21721	38.20982	1323.33325	-277.77960	85.89554	1199.68823	-283.81277	-341.34769	1274.09583	-178.18857	-378.88348	1259.77502	-146.96822	-457.58463	1324.85779	-143.45975	-626.31036	1315.39563	-107.63977	-606.83881	1321.20325	-36.76813	-682.44550	1339.16809	-88.55283	-671.88489	1349.97217	-22.53134	413.89600	1287.44434	-205.46703	451.24677	1272.60205	-177.60088	550.81458	1323.73877	-181.02629	685.70038	1311.11865	-95.25582	693.14691	1318.60425	-165.86131	742.50946	1333.76196	-83.37431	756.88434	1349.69678	-154.42050	-56.96953	958.20416	-69.68090	130.77652	951.56171	-84.15361	-112.65761	965.89276	-171.34926	151.17424	963.67670	-212.90559	24.27785	962.43420	-253.00735	-133.91035	713.54260	-130.15622	-101.61145	439.61569	-160.78937	-82.69378	297.12787	-156.05949	-54.70557	51.05302	-230.08553	2.30529	53.64802	-261.17783	-62.71110	37.06734	-78.26489	-102.23746	29.34203	-119.15775	184.05589	686.23230	-125.67728	157.76682	440.41580	-195.49815	152.32953	310.44669	-181.58612	100.42413	64.13584	-237.67514	128.42397	38.83770	-84.90567	39.52620	49.32312	-256.27917	168.39635	32.04759	-137.49825	
2	0.008	49.86806	1653.74609	-226.72220	49.46117	1518.03833	-294.15152	35.00249	1636.65125	-115.98662	112.93117	1620.32983	-233.30011	-111.12880	1349.98071	-228.61134	182.83665	1364.95911	-233.01337	38.29826	1323.42822	-277.69339	85.87331	1199.74707	-283.79669	-341.49301	1273.95789	-177.97731	-378.99768	1259.63928	-146.85341	-457.58463	1324.85779	-143.45975	-626.21649	1314.93420	-107.38361	-606.66736	1321.08374	-36.71975	-682.67395	1339.05054	-88.14438	-671.90350	1349.71924	-22.45761	413.89600	1287.44434	-205.46703	451.21948	1272.53662	-177.44308	550.75049	1323.81812	-180.68138	685.95551	1311.13293	-95.19538	693.11597	1318.51025	-165.64227	742.39294	1333.52710	-83.27654	756.85150	1349.53271	-154.38609	-57.29597	958.28845	-69.55227	130.77652	951.56171	-84.15361	-112.67461	965.90588	-171.20215	151.02534	963.73059	-212.93306	24.27785	962.43420	-253.00735	-133.86327	713.52643	-129.95915	-101.61145	439.61569	-160.78937	-82.71372	297.05679	-156.03607	-54.70547	51.08257	-230.01726	2.29537	53.75590	-261.14008	-62.71110	37.06734	-78.26489	-102.28227	29.46208	-119.27187	184.05589	686.23230	-125.67728	157.79956	440.33807	-195.47299	152.32953	310.44669	-181.58612	100.40121	64.20286	-237.77554	128.40280	38.78230	-84.92688	39.52620	49.32312	-256.27917	168.34050	32.06635	-137.47890	
3	0.017	49.94824	1653.70081	-226.66930	49.46117	1518.03833	-294.15152	34.90637	1636.69434	-115.71107	112.92184	1620.28394	-233.25450	-111.10853	1349.90564	-228.37885	182.85049	1364.96094	-232.99156	38.20989	1323.42737	-277.68787	85.87331	1199.74707	-283.79669	-341.49252	1273.89673	-177.87274	-379.13940	1259.69006	-146.67178	-457.54904	1325.22021	-143.58098	-626.21649	1314.93420	-107.38361	-606.66736	1321.08374	-36.71975	-682.59528	1338.71936	-87.27043	-671.96625	1349.49158	-22.49991	413.89600	1287.44434	-205.46703	451.10403	1272.51746	-177.37921	550.92566	1323.71802	-180.61072	685.89038	1310.92871	-95.12478	692.85834	1318.17285	-165.31049	742.28906	1333.30371	-83.17763	756.93652	1349.45398	-154.36899	-57.13787	958.21881	-69.60004	130.77652	951.56171	-84.15361	-112.79191	965.83240	-171.03062	151.00140	963.68402	-212.85616	24.19112	962.40631	-252.89734	-133.89922	713.46826	-129.75775	-101.76090	439.64761	-160.79745	-82.71372	297.05679	-156.03607	-54.70547	51.08257	-230.01726	2.29537	53.75590	-261.14008	-62.76655	37.02644	-78.24059	-102.39458	29.52569	-119.21408	184.05589	686.23230	-125.67728	157.76682	440.41580	-195.49815	152.34956	310.41360	-181.48529	100.42413	64.13584	-237.67514	128.40280	38.78230	-84.92688	39.52620	49.32312	-256.27917	168.34050	32.06635	-137.47890	
4	0.025	49.92469	1653.66711	-226.62759	49.46117	1518.03833	-294.15152	35.00476	1636.62451	-115.63123	113.02819	1620.18811	-233.19585	-111.10853	1349.90564	-228.37885	182.82082	1364.88953	-232.80386	38.22076	1323.42542	-277.53540	85.79346	1199.63770	-283.36600	-341.58334	1273.78088	-177.60385	-379.02747	1259.43884	-146.23491	-457.60028	1325.05957	-143.45959	-626.62708	1314.71155	-107.13395	-607.02173	1320.93591	-35.98041	-682.50110	1338.13391	-86.96928	-671.91376	1349.42468	-22.53144	413.68671	1287.42834	-205.40511	451.02087	1272.56848	-177.27934	550.92566	1323.71802	-180.61072	685.92474	1310.84167	-95.05846	692.91534	1318.18213	-165.19760	742.20746	1333.10034	-83.07507	756.74542	1349.46460	-154.21227	-57.29597	958.28845	-69.55227	130.77652	951.56171	-84.15361	-112.83765	965.89294	-170.92418	151.01355	963.63599	-212.75691	24.20381	962.43311	-252.94324	-133.89922	713.46826	-129.75775	-101.76090	439.64761	-160.79745	-82.71372	297.05679	-156.03607	-54.70547	51.08257	-230.01726	2.29537	53.75590	-261.14008	-62.77074	36.98632	-78.16516	-102.37577	29.59585	-119.16734	184.05589	686.23230	-125.67728	157.65733	440.29523	-195.08760	152.31987	310.47116	-181.44159	100.37845	64.19893	-237.70627	128.46410	38.74863	-84.89510	39.52620	49.32312	-256.27917	168.34050	32.06635	-137.47890	
5	0.033	49.91513	1653.69592	-226.55115	49.51942	1518.05676	-294.07193	34.94924	1636.70593	-115.60217	113.14236	1619.97388	-232.89679	-111.10345	1349.81970	-228.32190	182.84302	1364.98621	-232.80173	37.95821	1323.33057	-277.24399	85.78493	1199.66675	-283.48639	-341.62418	1273.66650	-177.45732	-379.06042	1259.40955	-145.92276	-457.60013	1324.92920	-143.38228	-626.63849	1314.63879	-106.92848	-606.88074	1320.88196	-35.84968	-682.49341	1338.36682	-87.38534	-671.93719	1349.36182	-22.45687	413.66824	1287.43213	-205.23851	450.89066	1272.48669	-177.17944	551.16559	1323.64111	-180.48264	685.88129	1310.71204	-95.03491	692.97632	1318.12476	-165.12927	742.15265	1332.92163	-82.96532	756.72589	1349.38379	-154.09074	-57.28940	958.40680	-69.38663	130.77652	951.56171	-84.15361	-112.83707	965.97565	-170.88972	150.91524	963.66272	-212.75537	23.90351	962.46655	-252.82234	-133.89922	713.46826	-129.75775	-101.95534	439.61545	-160.98235	-82.73789	297.18744	-156.11258	-54.70547	51.08257	-230.01726	2.07438	53.84827	-261.26395	-62.65321	37.02834	-78.10065	-102.39458	29.52569	-119.21408	183.97444	686.21808	-125.57000	157.65733	440.29523	-195.08760	152.29984	310.50424	-181.54242	100.36181	64.17431	-237.75743	128.48526	38.80403	-84.87389	39.52620	49.32312	-256.27917	168.34050	32.06635	-137.47890	
6	0.042	49.85696	1653.68787	-226.39629	49.44392	1518.13074	-293.78458	35.00797	1636.67920	-115.40427	112.94511	1620.11951	-232.86478	-111.21299	1349.86133	-228.29166	182.70612	1365.01355	-232.65033	37.95821	1323.33057	-277.24399	85.87889	1199.67358	-283.32114	-341.52881	1273.70239	-177.36630	-379.06042	1259.40955	-145.92276	-457.50708	1324.44507	-142.64160	-626.56183	1314.59680	-106.79447	-606.88074	1320.88196	-35.84968	-682.55945	1337.97607	-86.81196	-671.86493	1349.18250	-22.01320	413.63605	1287.34253	-205.08914	450.75922	1272.50671	-177.15019	551.02185	1323.82019	-180.30707	685.82574	1310.78540	-94.97666	692.97632	1318.12476	-165.12927	742.12311	1332.76855	-82.84532	756.61469	1349.37476	-154.02298	-57.28940	958.40680	-69.38663	130.77652	951.56171	-84.15361	-112.83707	965.97565	-170.88972	150.91524	963.66272	-212.75537	23.90351	962.46655	-252.82234	-133.89633	713.54333	-129.53160	-101.95534	439.61545	-160.98235	-82.76004	297.12823	-156.09615	-54.70557	51.05302	-230.08553	2.11739	53.82203	-261.25824	-62.76163	37.04967	-78.10719	-102.44620	29.40425	-119.18080	183.97444	686.21808	-125.57000	157.65733	440.29523	-195.08760	152.27968	310.53931	-181.38884	100.20974	64.34901	-237.82628	128.46410	38.74863	-84.89510	39.53858	49.39123	-256.23660	168.34050	32.06635	-137.47890	
7	0.050	49.87141	1653.68372	-226.31145	49.42727	1518.10107	-293.66959	35.05385	1636.67334	-115.23728	113.01491	1620.02844	-232.71542	-111.41100	1349.78015	-228.09898	182.66335	1365.02856	-232.53629	37.83117	1323.35034	-277.10889	85.87889	1199.67358	-283.32114	-341.56558	1273.45166	-177.00804	-379.06042	1259.40955	-145.92276	-457.57285	1324.39368	-142.41946	-626.56183	1314.59680	-106.79447	-606.71753	1320.95276	-35.75330	-682.61292	1338.26636	-87.01440	-671.86542	1348.97913	-21.81230	413.63605	1287.34253	-205.08914	450.75922	1272.50671	-177.15019	551.19696	1323.69678	-180.37596	685.94055	1310.65283	-94.72952	693.16980	1317.99304	-165.05437	742.11188	1332.63843	-82.71352	756.60510	1349.31628	-153.81715	-57.32740	958.31158	-69.39986	130.77652	951.56171	-84.15361	-112.99934	965.91248	-170.75316	150.73962	963.65228	-212.77576	23.78289	962.52277	-252.84920	-133.98056	713.57104	-129.45448	-101.96243	439.65900	-161.07761	-82.90688	297.09161	-156.17052	-54.70547	51.08257	-230.01726	2.19985	53.77241	-261.03601	-62.77074	36.98632	-78.16516	-102.27517	29.29015	-119.16071	183.97444	686.21808	-125.57000	157.57330	440.35995	-194.91904	152.10947	310.61441	-181.16850	100.35554	64.26595	-237.80667	128.60637	38.71576	-84.87751	39.53858	49.39123	-256.23660	168.39635	32.04759	-137.49825	
8	0.058	49.87968	1653.78540	-226.07974	49.33104	1518.15881	-293.44571	34.94883	1636.76819	-114.94435	112.91531	1619.99866	-232.48917	-111.51150	1349.88953	-227.95851	182.61226	1365.06946	-232.40891	37.89492	1323.35559	-276.99918	85.84261	1199.73462	-283.32068	-341.56558	1273.45166	-177.00804	-379.14355	1259.36328	-145.77068	-457.71524	1324.29822	-142.22099	-626.56018	1314.59106	-106.52424	-606.26752	1320.89404	-35.58987	-682.74988	1338.48047	-87.02483	-672.00330	1348.86633	-21.62985	413.63605	1287.34253	-205.08914	450.75922	1272.50671	-177.15019	551.16034	1323.39771	-180.23006	685.79297	1310.49634	-94.64151	693.16211	1317.76331	-165.00285	742.10986	1332.52612	-82.56981	756.56549	1349.30444	-153.57774	-57.31898	958.35657	-69.25291	130.77652	951.56171	-84.15361	-113.00534	965.98792	-170.71759	150.69260	963.60760	-212.71487	23.56074	962.52094	-252.67448	-134.02699	713.57916	-129.32802	-101.91122	439.58972	-161.12225	-83.21538	297.22137	-156.43024	-54.70547	51.08257	-230.01726	2.07438	53.84827	-261.26395	-62.77074	36.98632	-78.16516	-102.50492	29.45473	-119.25868	183.94774	686.27740	-125.52513	157.59012	440.44907	-194.98494	152.12950	310.58133	-181.06769	100.27833	64.21890	-237.69475	128.40280	38.78230	-84.92688	39.53858	49.39123	-256.23660	168.34050	32.06635	-137.47890	
