PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\JAVA_M\Men_Action_1.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1756	41	mm	120.00	1	      1756
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	20.78610	1651.28955	-122.75314	25.88153	1513.98071	-187.01268	7.72681	1636.59802	-11.80001	85.18961	1620.07202	-128.98279	-142.95032	1339.18018	-116.75207	171.13118	1362.19824	-116.19693	22.95338	1318.82605	-173.26093	75.39501	1195.26892	-178.25996	-348.72195	1234.24341	-47.22658	-388.24997	1216.06396	-9.52102	-475.93890	1271.24756	-0.80123	-615.28564	1251.10889	121.32375	-633.80078	1244.45178	49.91414	-685.80841	1276.73083	129.56920	-686.49921	1270.34241	64.09583	388.21356	1276.24316	-67.39197	430.10657	1254.71106	-32.13534	531.34259	1302.53076	-17.30527	653.67645	1285.01770	87.94572	666.06622	1290.98926	16.86784	711.88428	1311.05774	100.16247	724.25720	1326.86462	29.26849	-77.75866	958.83130	36.54459	110.20905	952.63055	27.39852	-127.55705	962.26941	-66.15203	136.23871	962.40857	-100.88029	10.94113	958.64349	-144.60104	-145.01984	711.18567	-17.25199	-107.66074	436.46124	-58.80309	-86.96642	295.78119	-60.29588	-57.97927	52.46115	-138.62428	-3.31168	56.12033	-174.03143	-56.21778	35.89169	12.11158	-98.39100	28.55960	-25.53616	164.54825	683.83368	-13.90940	139.31065	439.32202	-87.65643	130.85976	308.97540	-77.50310	83.61638	65.90549	-148.05931	91.80112	37.54055	6.96475	29.04878	62.72976	-173.71294	138.94200	31.81030	-41.34423	
2	0.008	20.82482	1651.25195	-122.68434	25.84906	1514.02637	-186.94333	7.78505	1636.57483	-11.72737	85.28252	1620.15576	-128.96893	-142.95706	1339.22632	-116.77516	171.14297	1362.15381	-116.17874	22.95338	1318.82605	-173.26093	75.51120	1195.25305	-177.99289	-348.72641	1234.20618	-47.12400	-388.24997	1216.06396	-9.52102	-475.93890	1271.24756	-0.80123	-615.28564	1251.10889	121.32375	-633.80078	1244.45178	49.91414	-685.76489	1276.82666	129.59921	-686.44580	1270.38062	64.02893	388.33148	1276.07349	-67.38986	429.70648	1254.86304	-31.18441	531.40936	1302.45166	-17.28090	653.70837	1284.90051	88.09261	666.06622	1290.98926	16.86784	711.91772	1310.99268	100.04436	724.42853	1326.75745	29.34599	-77.70142	958.86377	36.72210	110.31529	952.66327	27.43276	-127.41323	962.16376	-65.91850	136.23871	962.40857	-100.88029	10.94113	958.64349	-144.60104	-145.00684	711.23645	-17.17213	-107.68799	436.39642	-58.78662	-86.96642	295.78119	-60.29588	-57.92583	52.52414	-138.63420	-3.23383	56.25283	-174.11584	-56.23510	35.81535	12.20812	-98.48980	28.61469	-25.52948	164.62840	683.88098	-13.65695	139.51375	439.32983	-87.76062	130.94829	309.02246	-77.51985	83.61230	65.95238	-147.97780	91.94215	37.49643	6.99019	28.94284	62.77002	-173.71019	138.94200	31.81030	-41.34423	
3	0.017	20.92397	1651.25903	-122.69663	25.92768	1513.99731	-186.86656	7.90858	1636.50220	-11.59816	85.34933	1620.11670	-128.93698	-142.95032	1339.18018	-116.75207	171.18817	1362.12622	-116.08361	23.13411	1318.83301	-173.18230	75.58058	1195.16980	-177.90733	-348.66754	1234.15015	-47.17914	-388.22241	1215.98877	-9.36558	-475.59009	1271.27173	-0.82524	-615.28564	1251.10889	121.32375	-633.61804	1244.45801	49.83628	-685.78632	1276.88745	129.58653	-686.41742	1270.42456	63.93417	388.33148	1276.07349	-67.38986	429.74170	1254.78381	-31.18828	531.40936	1302.45166	-17.28090	654.03973	1284.72546	87.96178	666.18164	1291.00000	16.76021	711.91772	1310.99268	100.04436	724.43329	1327.10608	29.68993	-77.74801	958.92871	36.87407	110.31529	952.66327	27.43276	-127.41323	962.16376	-65.91850	136.23871	962.40857	-100.88029	10.84948	958.55310	-144.50436	-144.87605	711.30865	-17.03784	-107.66074	436.46124	-58.80309	-86.96642	295.78119	-60.29588	-57.92583	52.52414	-138.63420	-3.23383	56.25283	-174.11584	-56.11737	35.74475	12.15668	-98.39100	28.55960	-25.53616	164.60231	683.81140	-13.59474	139.54193	439.26498	-87.62348	130.94829	309.02246	-77.51985	83.69772	65.98009	-148.09425	91.85716	37.50610	6.97290	28.94284	62.77002	-173.71019	138.89194	31.79561	-41.39852	
4	0.025	21.04030	1651.29419	-122.65917	26.00576	1513.99158	-186.77756	7.89545	1636.54480	-11.62934	85.36072	1620.07654	-129.00906	-142.88144	1339.19177	-116.74493	171.14297	1362.15381	-116.17874	23.13411	1318.83301	-173.18230	75.58058	1195.16980	-177.90733	-348.66754	1234.15015	-47.17914	-388.22241	1215.98877	-9.36558	-475.47150	1271.24939	-0.77472	-615.10876	1251.05176	121.40353	-633.61804	1244.45801	49.83628	-685.68933	1276.88696	129.57597	-686.35638	1270.49060	63.87775	388.33148	1276.07349	-67.38986	429.74170	1254.78381	-31.18828	531.49823	1302.36414	-17.29372	654.03973	1284.72546	87.96178	666.23206	1290.95422	16.80035	712.08026	1310.92114	100.01678	724.30426	1326.63892	29.28516	-77.72148	959.10535	37.06021	110.31529	952.66327	27.43276	-127.46639	962.23828	-65.91930	136.28209	962.34930	-100.84528	10.94113	958.64349	-144.60104	-144.89813	711.25049	-17.02536	-107.68515	436.46323	-58.73325	-86.97344	295.70636	-60.29458	-57.99926	52.49985	-138.52301	-3.23383	56.25283	-174.11584	-56.25042	35.78413	12.14503	-98.35698	28.61074	-25.60595	164.51178	683.81274	-13.53119	139.33879	439.25177	-87.51822	130.94829	309.02246	-77.51985	83.64724	66.03704	-147.98889	91.96837	37.55584	6.97949	29.04878	62.72976	-173.71294	138.41980	31.56006	-41.14185	
5	0.033	21.11676	1651.27576	-122.63450	25.99055	1514.04077	-186.68774	8.01965	1636.52368	-11.57996	85.41374	1620.06836	-129.07668	-142.80351	1339.07263	-116.58303	171.18817	1362.12622	-116.08361	23.13411	1318.83301	-173.18230	75.57046	1195.09595	-177.81538	-348.55011	1234.22156	-47.03238	-388.22241	1215.98877	-9.36558	-475.47150	1271.24939	-0.77472	-615.10876	1251.05176	121.40353	-633.61804	1244.45801	49.83628	-685.78632	1276.88745	129.58653	-686.31958	1270.52710	63.87593	388.38922	1275.93884	-67.40584	430.31219	1254.53992	-32.09282	531.31305	1302.38562	-17.33794	654.03973	1284.72546	87.96178	666.23206	1290.95422	16.80035	711.91895	1310.93445	100.09770	724.29266	1326.59351	29.31608	-77.87533	959.01666	37.02116	110.31529	952.66327	27.43276	-127.41323	962.16376	-65.91850	136.28209	962.34930	-100.84528	10.84948	958.55310	-144.50436	-144.87605	711.30865	-17.03784	-107.67965	436.42456	-58.66301	-86.96642	295.78119	-60.29588	-57.92583	52.52414	-138.63420	-3.23383	56.25283	-174.11584	-56.19203	35.75963	12.22602	-98.35698	28.61074	-25.60595	164.61272	683.89276	-13.28301	139.48878	439.20477	-87.48834	130.92410	309.07629	-77.41522	83.65986	65.97398	-148.01407	91.96837	37.55584	6.97949	29.04878	62.72976	-173.71294	138.91408	31.90450	-41.28674	
6	0.042	21.18988	1651.26465	-122.60420	25.99055	1514.04077	-186.68774	8.04848	1636.49768	-11.63171	85.53069	1620.07971	-129.07973	-142.77211	1339.17224	-116.54829	171.31325	1362.11194	-116.09400	23.12413	1318.75745	-173.16066	75.56916	1195.10999	-177.70734	-348.43799	1234.15967	-46.98400	-388.22241	1215.98877	-9.36558	-475.41254	1271.22754	-0.68240	-615.10876	1251.05176	121.40353	-633.61804	1244.45801	49.83628	-685.78632	1276.88745	129.58653	-686.15417	1270.64429	63.94492	388.49261	1275.76001	-67.35126	430.03830	1254.64172	-31.13349	531.26752	1302.33984	-17.15738	653.98859	1284.64172	88.00330	666.25891	1290.90417	16.69868	712.08026	1310.92114	100.01678	724.35980	1326.54419	29.23205	-77.72148	959.10535	37.06021	110.51337	952.74823	27.79745	-127.41323	962.16376	-65.91850	136.37604	962.32806	-100.69670	11.01891	958.66803	-144.45001	-144.87605	711.30865	-17.03784	-107.64989	436.55832	-58.63010	-86.95628	295.88913	-60.29776	-57.92583	52.52414	-138.63420	-3.23383	56.25283	-174.11584	-56.19203	35.75963	12.22602	-98.39100	28.55960	-25.53616	164.62698	683.84344	-13.28227	139.48878	439.20477	-87.48834	130.92410	309.07629	-77.41522	83.65577	66.02087	-147.93256	91.91233	37.59030	6.97134	29.04878	62.72976	-173.71294	138.92758	31.75613	-41.42035	
7	0.050	21.21260	1651.19287	-122.58945	25.99241	1513.89648	-186.74564	8.13136	1636.48706	-11.54413	85.50618	1620.03931	-129.05263	-142.73085	1339.14954	-116.42102	171.30066	1362.03564	-116.08145	23.12413	1318.75745	-173.16066	75.49487	1195.02625	-177.50421	-348.29739	1234.13330	-46.90784	-388.22241	1215.98877	-9.36558	-475.36307	1271.23279	-0.57131	-615.10876	1251.05176	121.40353	-633.61804	1244.45801	49.83628	-685.68933	1276.88696	129.57597	-686.20612	1270.58606	64.00330	388.49261	1275.76001	-67.35126	430.49680	1254.45508	-32.11646	531.26752	1302.33984	-17.15738	653.98859	1284.64172	88.00330	666.36200	1290.82214	16.77416	712.08026	1310.92114	100.01678	724.40283	1326.51111	29.19946	-77.80090	959.06799	37.13669	110.51575	952.65735	27.86816	-127.26713	962.14233	-65.80025	136.37604	962.32806	-100.69670	11.02949	958.26355	-144.06660	-144.97238	711.20465	-16.92512	-107.68436	436.49011	-58.57611	-86.94756	295.98206	-60.29937	-57.94152	52.49199	-138.54700	-3.23383	56.25283	-174.11584	-56.25953	35.93052	12.16731	-98.35698	28.61074	-25.60595	164.60471	683.87213	-13.16231	139.57018	439.30316	-87.43061	130.92410	309.07629	-77.41522	83.60377	65.96856	-148.03412	91.94215	37.49643	6.99019	28.94284	62.77002	-173.71019	138.93999	31.70143	-41.38546	
8	0.058	21.29814	1651.13684	-122.58983	25.99055	1514.04077	-186.68774	8.36316	1636.41260	-11.53767	85.54053	1620.03699	-129.15013	-142.77086	1339.14856	-116.34480	171.24487	1362.09399	-116.08330	23.11167	1318.82617	-173.10179	75.41955	1194.99707	-177.41336	-348.29739	1234.13330	-46.90784	-388.22241	1215.98877	-9.36558	-475.36307	1271.23279	-0.57131	-615.17517	1250.96252	121.54557	-633.44940	1244.49341	49.93294	-685.67395	1276.85156	129.59924	-686.19202	1270.65356	64.07949	388.49261	1275.76001	-67.35126	430.12216	1254.57922	-31.23785	531.52313	1302.26367	-17.20476	653.98859	1284.64172	88.00330	666.47345	1290.82251	16.82201	712.08026	1310.92114	100.01678	724.47614	1326.44043	29.07633	-77.96774	959.02869	37.34402	110.82305	952.70996	28.06536	-127.27053	962.21515	-65.73814	136.37604	962.32806	-100.69670	10.92362	958.43976	-144.10764	-144.93489	711.26666	-16.90778	-107.64579	436.47620	-58.46358	-86.94016	296.06079	-60.30074	-58.00329	52.52214	-138.36067	-3.23383	56.25283	-174.11584	-56.23510	35.81535	12.20812	-98.39100	28.55960	-25.53616	164.61525	683.82874	-13.06240	139.60568	439.24506	-87.40987	130.92410	309.07629	-77.41522	83.77303	66.08402	-147.83722	91.96837	37.55584	6.97949	28.94284	62.77002	-173.71019	138.98172	31.78188	-41.36357	
