PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\JAVA_M\Men_Action_10.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1721	41	mm	120.00	1	      1721
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	-111.05794	1655.93396	377.96350	-116.23718	1523.58301	304.56311	-115.52880	1633.75623	488.83209	-48.58794	1623.42627	364.37866	-270.61276	1350.12036	372.62485	22.71146	1369.11572	347.26480	-123.25803	1327.07581	313.28207	-76.94931	1204.25464	301.19189	-490.95508	1233.08887	410.51874	-524.06866	1208.89771	439.55679	-613.32001	1257.48999	441.45508	-767.45361	1228.56250	543.58783	-776.52441	1214.41321	470.57874	-838.13879	1251.97400	541.67236	-830.15308	1239.29431	475.86923	252.24152	1264.63525	365.82132	289.35553	1240.72302	389.68619	394.60330	1281.78674	399.25513	524.48688	1250.77026	492.57840	533.94476	1253.86316	420.83414	583.53510	1273.27393	501.72354	593.97943	1285.56934	429.47324	-207.83026	964.00208	522.28333	-17.44630	953.67456	500.28412	-265.07611	969.04041	423.65344	-2.63862	962.65369	373.07767	-130.83521	961.59631	340.30035	-291.29749	714.15240	466.48715	-264.97781	441.56894	424.70609	-250.23570	298.76038	425.79453	-219.74692	53.77883	349.02573	-159.83360	56.12708	324.78915	-247.90376	36.57130	495.43796	-281.05460	31.18891	451.77524	33.52456	685.59326	457.29105	0.72514	441.49316	382.09036	-2.03800	311.66937	396.28345	-61.15826	65.46036	345.88687	-6.97000	38.76069	491.18130	-129.19267	60.56598	339.50974	22.68338	33.52762	431.48737	-101.17657	1343.04395	122.47364	
2	0.008	-111.04493	1655.90112	377.73755	-116.17487	1523.50745	304.51624	-115.72206	1633.76440	488.70016	-48.50272	1623.30115	364.18338	-270.70392	1350.06348	372.40182	22.71867	1369.16272	347.27155	-123.25803	1327.07581	313.28207	-76.96652	1204.30347	301.26129	-490.92807	1232.83215	410.55273	-524.17523	1208.78394	439.56442	-613.21649	1257.32410	441.44449	-767.26837	1228.22437	544.32306	-776.42340	1214.26721	471.31982	-838.20215	1251.62500	541.93915	-830.16028	1239.09729	476.16049	252.24219	1264.57874	365.66998	289.37790	1240.63904	389.65656	394.39233	1281.70605	399.18796	524.46515	1250.31580	492.48175	533.84369	1253.89368	420.52060	583.45831	1273.12439	501.55844	594.09827	1285.52148	429.22946	-207.70317	964.03760	522.47589	-17.33265	953.71478	500.11984	-265.07611	969.04041	423.65344	-2.60451	962.67371	372.99426	-130.85509	961.46661	340.06744	-291.36975	714.16986	466.59698	-264.71423	441.68527	424.82019	-250.23570	298.76038	425.79453	-219.79591	53.81743	349.13297	-159.83360	56.12708	324.78915	-247.90376	36.57130	495.43796	-281.07596	31.23888	451.68689	33.52456	685.59326	457.29105	0.72514	441.49316	382.09036	-2.03800	311.66937	396.28345	-61.15826	65.46036	345.88687	-6.81806	38.81124	491.16901	-129.12062	60.55165	339.66229	22.73123	33.56201	431.53592	-100.82726	1342.76306	122.63433	
3	0.017	-110.97079	1655.94531	377.58948	-116.23206	1523.47339	304.43268	-115.59081	1633.64807	488.45789	-48.55840	1623.38574	363.96732	-270.67270	1350.11304	372.47852	22.69049	1369.09314	347.13882	-123.25998	1327.17444	313.16360	-76.97871	1204.18469	300.79001	-490.92807	1232.83215	410.55273	-524.17017	1208.72986	439.47815	-613.27307	1257.14563	441.68005	-767.44324	1227.99707	544.64288	-776.66229	1214.07068	471.44620	-837.77081	1251.56433	542.30902	-830.21777	1238.98132	476.59641	252.40669	1264.65637	365.29642	289.07944	1240.43628	389.42450	394.38046	1281.53589	399.05688	524.32068	1250.28088	492.36124	533.64075	1253.38245	420.49261	583.27899	1273.01831	501.29404	593.94189	1285.45007	429.21558	-207.59091	963.90900	522.20667	-17.20380	953.68536	499.89828	-265.01855	969.07867	423.65826	-2.63722	962.67664	372.81238	-130.85509	961.46661	340.06744	-291.28857	714.18335	466.71283	-264.81732	441.64612	424.82108	-250.23570	298.76038	425.79453	-219.83357	53.87304	349.11575	-159.83360	56.12708	324.78915	-247.90376	36.57130	495.43796	-281.07596	31.23888	451.68689	33.57059	685.65295	457.07913	0.72514	441.49316	382.09036	-1.91881	311.64948	396.28778	-61.08641	65.40714	345.90659	-6.81806	38.81124	491.16901	-129.12062	60.55165	339.66229	22.73123	33.56201	431.53592	-100.73755	1342.61572	122.49725	
4	0.025	-110.92538	1655.91577	377.35922	-116.42838	1523.43726	304.24774	-115.78355	1633.65405	488.33148	-48.50889	1623.51868	363.92111	-270.74283	1350.05078	372.48264	22.57174	1369.09558	346.94434	-123.27746	1327.09888	313.13693	-76.97871	1204.18469	300.79001	-490.90756	1232.75073	410.68802	-524.10583	1208.57556	439.56003	-613.19360	1256.98682	441.92114	-767.20386	1227.89856	544.78070	-776.47729	1213.93140	471.60376	-837.58868	1251.39514	542.48358	-830.47723	1238.64148	477.05029	252.27982	1264.53760	364.85864	288.84564	1240.13049	389.70590	394.37509	1281.30005	398.93225	524.32068	1250.28088	492.36124	533.72711	1253.43860	420.32574	583.34253	1272.89880	501.25449	593.95544	1285.45215	428.96704	-207.34062	963.91718	522.22363	-16.84251	953.71979	499.78293	-264.95316	969.04364	423.74179	-2.63722	962.67664	372.81238	-130.85509	961.46661	340.06744	-291.17758	714.04205	466.68533	-264.71423	441.68527	424.82019	-250.23570	298.76038	425.79453	-219.74692	53.77883	349.02573	-159.83360	56.12708	324.78915	-247.90376	36.57130	495.43796	-281.01138	31.29109	451.73196	33.58213	685.66473	456.94843	0.72514	441.49316	382.09036	-1.91881	311.64948	396.28778	-61.05419	65.48300	345.85110	-6.86547	38.83646	491.16568	-129.06125	60.50234	339.68741	22.73123	33.56201	431.53592	
5	0.033	-111.16364	1655.82898	377.07623	-116.66518	1523.49768	304.37589	-115.78355	1633.65405	488.33148	-48.49878	1623.44336	363.66501	-270.75537	1350.02380	372.31165	22.60880	1369.09656	346.86700	-123.32850	1327.17773	313.11728	-76.91265	1204.24365	300.73584	-490.90439	1232.62842	411.00165	-523.88055	1208.41052	439.85843	-613.03394	1256.81580	442.03680	-767.09247	1227.66772	544.92456	-776.50055	1213.57800	471.91708	-837.49310	1251.17004	542.87042	-830.36108	1238.42346	477.40521	252.22879	1264.40332	364.71106	288.81732	1239.87463	389.67761	394.39401	1281.44775	398.89249	524.48297	1249.98462	491.94571	533.66107	1253.13391	420.22189	583.53107	1272.43518	501.43973	593.63214	1285.06812	428.57944	-206.92792	963.81372	522.34784	-16.89056	953.79272	499.79651	-264.98920	969.10059	423.74576	-2.54651	962.73059	372.57562	-130.85509	961.46661	340.06744	-291.21628	714.16589	466.60300	-264.73953	441.58688	424.83981	-250.23570	298.76038	425.79453	-219.76848	53.70704	349.06976	-159.81752	56.04955	324.76782	-247.90376	36.57130	495.43796	-281.02911	31.19038	451.70605	33.59583	685.72418	456.90753	0.77421	441.45132	381.78162	-2.03800	311.66937	396.28345	-61.15826	65.46036	345.88687	-7.01740	38.78591	491.17798	-129.13330	60.51666	339.53485	22.73123	33.56201	431.53592	
6	0.042	-111.03040	1655.85974	377.01157	-116.51369	1523.44568	303.91397	-115.60060	1633.77869	488.15140	-48.43703	1623.48523	363.51749	-270.74191	1349.99768	372.31183	22.55459	1369.08447	346.70920	-123.34435	1326.96875	312.98737	-77.05339	1204.33044	300.50732	-490.97330	1232.63501	410.87521	-523.99304	1207.90881	439.53928	-613.26501	1256.75806	442.22800	-767.09906	1227.58740	544.96753	-776.20758	1213.32678	472.06488	-837.38824	1250.91907	543.02972	-830.38306	1238.39075	477.66846	251.95946	1264.28137	364.36801	288.68613	1239.61707	389.77185	394.30347	1281.16052	398.98566	524.27753	1249.48730	491.99884	533.53296	1252.68359	420.10809	583.37885	1272.33984	501.51190	593.86322	1284.75964	428.37646	-206.92792	963.81372	522.34784	-16.84251	953.71979	499.78293	-264.82990	968.88782	423.79614	-2.59013	962.67316	372.52512	-130.68643	961.40991	339.95966	-291.00275	714.07251	466.65598	-264.86368	441.57388	424.77957	-250.23570	298.76038	425.79453	-219.76848	53.70704	349.06976	-159.83360	56.12708	324.78915	-247.90376	36.57130	495.43796	-281.00809	31.33274	451.63013	33.61407	685.77673	456.86737	0.91761	441.44244	381.72311	-2.03800	311.66937	396.28345	-61.15463	65.39842	345.83746	-6.97000	38.76069	491.18130	-129.13330	60.51666	339.53485	22.73123	33.56201	431.53592	
7	0.050	-111.23202	1655.88818	376.84644	-116.65221	1523.41089	303.76852	-115.62872	1633.81555	487.94580	-48.39771	1623.46924	363.45502	-270.74191	1349.99768	372.31183	22.53304	1368.98999	346.66107	-123.45990	1327.10376	312.74985	-76.99059	1204.32727	300.52615	-491.04407	1232.51855	411.26288	-523.98718	1207.79358	439.56433	-613.24487	1256.70923	442.41119	-767.19830	1227.27283	545.10236	-776.52228	1213.05518	472.35110	-837.42462	1250.75610	543.40082	-830.25366	1237.98914	478.07947	251.95946	1264.28137	364.36801	288.71384	1239.62598	389.53329	394.30347	1281.16052	398.98566	524.06104	1249.28259	491.84488	533.46631	1252.58899	419.90680	583.25494	1272.22021	501.36829	593.70081	1284.37646	428.29550	-206.95100	963.84412	522.59106	-16.88593	953.78180	499.60266	-264.91614	968.83295	423.77716	-2.49069	962.69324	372.48172	-130.84311	961.44391	339.76828	-290.97507	714.10303	466.73477	-264.63647	441.62607	424.83893	-250.23570	298.76038	425.79453	-219.76848	53.70704	349.06976	-159.83360	56.12708	324.78915	-247.88446	36.50342	495.40234	-280.89078	31.30976	451.56601	33.72766	685.78601	456.78751	0.91761	441.44244	381.72311	-1.91881	311.64948	396.28778	-61.15826	65.46036	345.88687	-6.97000	38.76069	491.18130	-129.03317	60.58082	339.69028	22.73123	33.56201	431.53592	
8	0.058	-111.41948	1655.82996	376.75497	-116.93851	1523.30676	303.78131	-115.59962	1633.80090	487.70444	-48.63897	1623.39197	363.20160	-270.80893	1350.02539	372.33020	22.53304	1368.98999	346.66107	-123.43578	1327.03418	312.59885	-77.00710	1204.38904	300.32086	-491.05780	1232.47168	411.38483	-523.98718	1207.79358	439.56433	-613.22467	1256.65967	442.50162	-767.44702	1227.22217	545.38397	-776.58032	1212.66943	472.74072	-837.11938	1250.57471	543.85510	-830.14856	1237.85571	478.21237	252.05928	1264.06909	364.19873	288.85233	1239.45203	389.34906	394.13431	1280.87964	399.04996	523.99786	1249.02075	491.46719	533.31274	1252.36560	420.00653	583.30286	1271.93665	501.30920	593.70294	1284.31763	428.32687	-206.92792	963.81372	522.34784	-16.90129	953.62347	499.43552	-264.64960	968.94586	423.88882	-2.35960	962.73773	372.17981	-130.85303	961.53589	339.67816	-290.72629	714.07019	466.66397	-264.63647	441.62607	424.83893	-250.23570	298.76038	425.79453	-219.86310	53.78863	349.08884	-159.83360	56.12708	324.78915	-247.83502	36.61245	495.41055	-281.00809	31.33274	451.63013	33.71997	685.82166	456.75299	1.02728	441.51831	381.69611	-1.82388	311.65521	396.00024	-61.15826	65.46036	345.88687	-7.01740	38.78591	491.17798	-129.12062	60.55165	339.66229	22.83681	33.60579	431.48816	
