PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\JAVA_M\Men_Action_13.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1416	41	mm	120.00	1	      1416
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	35.53502	1654.53052	-209.74779	37.46729	1521.84644	-282.94330	20.46293	1632.42957	-99.71729	99.24973	1621.63794	-217.36298	-119.33676	1350.02893	-225.21878	166.04619	1372.47607	-232.85489	28.44485	1322.30652	-275.16238	79.49641	1200.96143	-282.55600	-352.25885	1274.05054	-199.42511	-391.09146	1258.99744	-171.50040	-470.15823	1322.82190	-178.54904	-629.34814	1321.85864	-88.73190	-640.75464	1313.48694	-161.97079	-701.01550	1341.10315	-84.90793	-701.43402	1329.38586	-149.42923	401.20984	1299.02258	-220.61031	441.20944	1286.97729	-193.66379	540.65521	1337.66553	-213.44839	679.67255	1336.98999	-137.40594	680.39716	1335.44482	-210.59598	741.08667	1347.34302	-137.42044	747.49933	1350.09814	-210.09160	-63.08377	957.52716	-69.34953	125.03787	952.27118	-84.10673	-118.40842	965.23254	-170.39922	144.75330	964.18604	-211.95926	18.42200	963.09674	-251.55624	-139.18187	713.32043	-127.49487	-104.36561	439.75388	-156.07814	-83.77747	296.84610	-152.72617	-61.30310	51.16925	-226.89914	-7.60851	53.83660	-263.48477	-54.87553	37.33165	-76.60233	-97.41462	29.54843	-111.51202	174.99831	685.38464	-123.03845	148.71867	439.02603	-191.78661	141.08046	309.54889	-177.45335	90.60291	64.22643	-237.45639	107.37351	38.91687	-82.11553	31.40185	49.66507	-259.77585	151.56474	31.77760	-132.71046	
2	0.008	35.69820	1654.55444	-209.93782	37.46695	1521.72375	-282.97263	20.57043	1632.44958	-100.06953	99.26933	1621.60291	-217.45647	-119.29318	1350.00037	-225.25949	166.12967	1372.45447	-232.94963	28.74291	1322.27808	-275.17554	79.55531	1200.88855	-282.63998	-352.25998	1273.91968	-199.47639	-391.16968	1258.84741	-171.44901	-470.15823	1322.82190	-178.54904	-629.18042	1321.24292	-89.22437	-640.84039	1313.18542	-161.85323	-701.09058	1340.82898	-84.89001	-701.11078	1329.11597	-149.30489	401.21411	1298.95471	-220.66338	441.18585	1286.94031	-193.76189	540.07776	1337.18494	-212.56642	679.61053	1336.20129	-138.25786	680.43842	1335.24500	-210.55014	741.28198	1347.26355	-137.57124	747.53308	1349.84998	-210.10432	-63.11653	957.63184	-69.40825	125.10832	952.26428	-84.02454	-118.25142	965.28809	-170.60814	144.75330	964.18604	-211.95926	18.42200	963.09674	-251.55624	-139.10976	713.30078	-127.55090	-104.36561	439.75388	-156.07814	-83.79491	296.71133	-152.84680	-61.30310	51.16925	-226.89914	-7.58633	53.92090	-263.56650	-54.83103	37.29458	-76.55376	-97.51904	29.56721	-111.44468	175.05896	685.34076	-123.06044	148.71500	438.93561	-191.75191	141.22366	309.52335	-177.58672	90.55603	64.14476	-237.50157	107.37351	38.91687	-82.11553	31.40185	49.66507	-259.77585	151.67160	31.80843	-132.69255	
3	0.017	35.78985	1654.54968	-210.07259	37.57325	1521.68958	-282.94153	20.69614	1632.38062	-100.23130	99.32033	1621.51099	-217.45313	-119.29318	1350.00037	-225.25949	166.15924	1372.35339	-233.17264	28.46293	1322.19861	-275.18719	79.62313	1200.84839	-282.68793	-352.19885	1273.91638	-199.58279	-391.18915	1258.65991	-171.61296	-470.01627	1322.61414	-178.72623	-629.12183	1321.14551	-89.07430	-640.70880	1312.95923	-161.82320	-701.01031	1340.52136	-84.60021	-700.89899	1328.84143	-149.37415	401.38385	1299.00586	-220.80888	441.26257	1286.78918	-193.95926	539.82062	1336.84753	-212.23225	679.70361	1336.08154	-137.95393	680.47064	1334.81970	-210.48427	741.65466	1346.97839	-137.32249	747.47150	1349.51160	-210.03496	-63.08377	957.52716	-69.34953	125.10832	952.26428	-84.02454	-118.25142	965.28809	-170.60814	144.83669	964.15851	-211.91957	18.43130	963.03790	-251.65721	-139.03386	713.33862	-127.51131	-104.35117	439.68750	-156.14597	-83.75208	296.86841	-152.66797	-61.33780	51.11504	-226.90311	-7.61647	53.85172	-263.57495	-54.87553	37.33165	-76.60233	-97.41462	29.54843	-111.51202	175.05896	685.34076	-123.06044	148.86906	438.97656	-191.83618	141.31883	309.52795	-177.70227	90.55603	64.14476	-237.50157	107.44100	38.88247	-82.15048	31.40185	49.66507	-259.77585	151.67160	31.80843	-132.69255	
4	0.025	35.85950	1654.51733	-210.12517	37.66843	1521.61328	-283.16141	21.06071	1632.49121	-100.33486	99.51508	1621.47595	-217.51047	-119.23882	1349.98486	-225.34544	166.15924	1372.35339	-233.17264	28.68706	1322.26184	-275.38669	79.64387	1200.78955	-282.69983	-352.15317	1273.65247	-199.48331	-391.10373	1258.57703	-171.56371	-469.90854	1322.24255	-178.70186	-629.12183	1321.14551	-89.07430	-640.72046	1312.39453	-161.91492	-700.99420	1340.01306	-84.40162	-700.98785	1328.64307	-149.30800	401.42477	1298.79700	-220.89471	441.20242	1286.69409	-193.76286	539.91541	1336.58472	-212.67039	679.68646	1335.58459	-138.07684	680.54266	1334.75708	-210.39972	741.66699	1346.92908	-137.36478	747.60791	1349.52087	-209.88861	-63.36227	957.81531	-69.41603	125.17223	952.29364	-83.90755	-118.21559	965.35974	-170.63620	144.85207	964.11420	-212.05995	18.43130	963.03790	-251.65721	-138.96246	713.27051	-127.54972	-104.33515	439.61026	-156.09485	-83.76631	296.77963	-152.84538	-61.17491	51.14814	-226.91066	-7.61647	53.85172	-263.57495	-54.87553	37.33165	-76.60233	-97.51904	29.56721	-111.44468	175.05896	685.34076	-123.06044	148.86906	438.97656	-191.83618	141.40781	309.42380	-177.81880	90.55603	64.14476	-237.50157	107.44100	38.88247	-82.15048	31.38778	49.58438	-259.81772	151.71301	31.83791	-132.78108	
5	0.033	36.04766	1654.51819	-210.25186	37.74432	1521.56348	-283.14612	21.01232	1632.49329	-100.47678	99.73685	1621.54797	-217.55217	-119.20510	1349.99866	-225.45628	166.23509	1372.34839	-233.20529	28.86351	1322.33069	-275.54828	79.64387	1200.78955	-282.69983	-352.00702	1273.44922	-199.35385	-390.81168	1258.27368	-171.50862	-469.90854	1322.24255	-178.70186	-629.10010	1320.66199	-88.77877	-640.39404	1312.19580	-161.88866	-700.94220	1339.62476	-84.56705	-701.07404	1328.11523	-149.35863	401.46637	1298.71240	-220.89047	441.35410	1286.61206	-193.54990	539.96295	1336.48792	-212.65771	679.67651	1335.67065	-137.11174	680.53693	1334.54163	-210.69891	741.63281	1346.85425	-137.23416	747.66919	1349.15625	-209.84787	-63.11653	957.63184	-69.40825	125.23132	952.21417	-83.93135	-118.11053	965.39301	-170.68852	144.94968	964.01703	-211.99393	18.43130	963.03790	-251.65721	-139.03796	713.33173	-127.55836	-104.35117	439.68750	-156.14597	-83.75208	296.86841	-152.66797	-61.30310	51.16925	-226.89914	-7.61150	53.88911	-263.64200	-54.83103	37.29458	-76.55376	-97.34764	29.45073	-111.45277	175.10062	685.28864	-123.09389	148.86906	438.97656	-191.83618	141.40781	309.42380	-177.81880	90.57818	64.06673	-237.44887	107.37351	38.91687	-82.11553	31.38778	49.58438	-259.81772	151.71301	31.83791	-132.78108	
6	0.042	36.15202	1654.54712	-210.36688	37.66706	1521.49182	-283.27859	21.08376	1632.49573	-100.58807	99.89745	1621.58118	-217.69095	-119.21338	1349.93860	-225.50581	166.23509	1372.34839	-233.20529	29.11482	1322.36035	-275.66147	79.64387	1200.78955	-282.69983	-352.05234	1273.27563	-199.38939	-390.86032	1258.03687	-171.33008	-469.77231	1322.03381	-178.65218	-628.58136	1319.85474	-88.76887	-640.73059	1311.81323	-161.76535	-700.87982	1339.29456	-84.71687	-701.37341	1327.97815	-149.27361	401.40332	1298.64392	-220.67941	441.37561	1286.62805	-193.72340	540.03650	1336.43005	-212.88417	679.61786	1335.48682	-136.93030	680.58557	1334.32654	-210.51579	741.68469	1346.83167	-136.93515	747.94263	1348.87488	-209.87215	-63.36227	957.81531	-69.41603	125.23132	952.21417	-83.93135	-118.14635	965.32135	-170.66046	144.97406	963.95392	-211.95490	18.52574	963.07764	-251.76836	-138.96205	713.36963	-127.51877	-104.35117	439.68750	-156.14597	-83.75208	296.86841	-152.66797	-61.30310	51.16925	-226.89914	-7.61647	53.85172	-263.57495	-54.87553	37.33165	-76.60233	-97.51904	29.56721	-111.44468	175.19002	685.34424	-123.33081	148.86906	438.97656	-191.83618	141.40781	309.42380	-177.81880	90.57818	64.06673	-237.44887	107.44100	38.88247	-82.15048	31.40185	49.66507	-259.77585	151.71301	31.83791	-132.78108	
7	0.050	36.34809	1654.41260	-210.48997	37.83381	1521.46521	-283.39734	21.10416	1632.56079	-100.70290	99.93736	1621.47058	-217.80263	-119.21338	1349.93860	-225.50581	166.23509	1372.34839	-233.20529	29.11482	1322.36035	-275.66147	79.64387	1200.78955	-282.69983	-351.98959	1273.10132	-199.29991	-391.00436	1257.79834	-171.69177	-469.64264	1321.95020	-178.62662	-628.58136	1319.85474	-88.76887	-640.55627	1311.54468	-161.58299	-700.91052	1338.93311	-84.53659	-701.10803	1327.71436	-149.29445	401.92795	1298.42468	-220.87210	441.37561	1286.62805	-193.72340	540.21222	1336.29224	-212.71358	679.56171	1335.38916	-136.77771	680.59729	1333.97681	-210.53935	741.63721	1346.67078	-137.04776	747.95367	1348.66772	-209.63486	-63.11653	957.63184	-69.40825	125.29617	952.20740	-83.81541	-118.11053	965.39301	-170.68852	144.97406	963.95392	-211.95490	18.43130	963.03790	-251.65721	-138.99818	713.32452	-127.76134	-104.35117	439.68750	-156.14597	-83.75208	296.86841	-152.66797	-61.30310	51.16925	-226.89914	-7.58633	53.92090	-263.56650	-54.87553	37.33165	-76.60233	-97.51904	29.56721	-111.44468	175.22482	685.27008	-123.53226	148.86906	438.97656	-191.83618	141.40781	309.42380	-177.81880	90.55603	64.14476	-237.50157	107.37351	38.91687	-82.11553	31.40185	49.66507	-259.77585	151.71301	31.83791	-132.78108	
8	0.058	36.54453	1654.42358	-210.69209	37.82154	1521.27026	-283.68558	21.14545	1632.70081	-100.86607	100.10924	1621.45264	-218.09920	-119.12627	1349.88940	-225.60934	166.23509	1372.34839	-233.20529	29.11482	1322.36035	-275.66147	79.64387	1200.78955	-282.69983	-352.11682	1272.95288	-199.23935	-391.02689	1257.71875	-171.71272	-469.87137	1321.79883	-178.62794	-629.02136	1319.78967	-88.82875	-640.64111	1311.41272	-161.71561	-700.94067	1338.68835	-84.52847	-701.08136	1327.18945	-149.05974	402.25281	1298.26599	-220.92291	441.46909	1286.54553	-193.70752	540.37048	1336.23999	-212.65538	679.63977	1335.21667	-136.70383	680.64581	1333.90234	-210.56371	741.94922	1346.34778	-137.29147	748.03400	1348.62988	-209.69415	-63.34358	957.49323	-69.48439	125.29617	952.20740	-83.81541	-118.11053	965.39301	-170.68852	145.25436	963.89441	-212.04253	18.43130	963.03790	-251.65721	-138.90465	713.35400	-127.61225	-104.35117	439.68750	-156.14597	-83.74091	296.80194	-152.78720	-61.38556	51.24200	-226.95168	-7.58633	53.92090	-263.56650	-54.83103	37.29458	-76.55376	-97.42384	29.56212	-111.61373	175.16026	685.26318	-123.42461	148.97032	438.97900	-191.79021	141.40781	309.42380	-177.81880	90.57818	64.06673	-237.44887	107.44100	38.88247	-82.15048	31.40185	49.66507	-259.77585	151.71301	31.83791	-132.78108	
