PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\Mtanmar\Action_17.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1286	41	mm	120.00	1	      1286
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	-61.07159	1545.34106	-120.74230	-37.53099	1465.75830	-175.51801	-80.05743	1508.46582	47.63347	5.99689	1551.58679	-82.85142	-164.88264	1338.59167	-140.58319	82.09152	1341.97888	-115.96282	-44.40690	1284.45544	-187.04817	35.63057	1154.56812	-204.64497	-324.80704	1290.18335	-152.64635	-442.64368	1235.47278	-119.10877	-543.40918	1267.84802	-141.49352	-671.66595	1321.09448	-78.76443	-668.53802	1309.89832	-147.40205	-721.96228	1338.18311	-79.90759	-724.58545	1324.74817	-150.88388	199.18698	1267.97705	-134.16539	343.62894	1206.58105	-55.59351	452.78043	1228.62451	-72.76783	568.43713	1241.08813	18.08683	578.15607	1216.52698	-47.38887	619.75848	1254.84082	16.45799	645.61395	1237.59119	-38.68210	-178.58235	939.06671	16.15180	95.07079	945.86426	34.54446	-176.88484	928.92773	-97.07614	94.28082	945.26282	-93.53185	-28.21086	928.05609	-162.28159	-215.94669	674.78186	15.30417	-178.33836	399.73422	-58.98825	-152.45041	233.34042	-54.68256	-129.93990	63.44468	-113.30380	-76.83694	49.46452	-162.51776	-128.67342	32.19549	16.55044	-165.13333	27.84395	-19.98128	145.48006	659.87347	23.21047	129.56732	416.44617	-38.76575	96.94949	262.18027	-31.48293	86.65930	65.83764	-116.65170	100.34633	36.76307	33.06880	38.18977	43.11282	-145.15694	134.86340	31.96610	-12.42214	
2	0.008	-61.19025	1545.28894	-120.77352	-37.48180	1465.69763	-175.45692	-80.05743	1508.46582	47.63347	5.87229	1551.57764	-82.77488	-164.88264	1338.59167	-140.58319	81.96455	1341.93091	-115.65868	-44.40690	1284.45544	-187.04817	35.70691	1154.38684	-204.41771	-324.74997	1290.21411	-152.94702	-442.68906	1235.39209	-119.28262	-543.50763	1267.50952	-141.89442	-671.08331	1320.83740	-79.16679	-668.72272	1309.45740	-147.69333	-722.03955	1338.07874	-80.23171	-724.61383	1324.51929	-151.43607	199.18483	1267.94263	-134.02460	343.62894	1206.58105	-55.59351	452.74680	1228.75928	-72.67979	568.52643	1241.37512	18.42809	578.11285	1216.76526	-47.38502	619.69336	1254.97400	16.51390	645.48279	1237.79822	-38.66321	-178.44467	938.87146	16.32551	95.05962	945.77570	34.79461	-176.62381	928.80737	-97.09806	94.44397	945.20026	-93.09719	-28.08812	928.03247	-162.14078	-215.94669	674.78186	15.30417	-178.19983	399.67447	-59.07565	-152.44247	233.39005	-54.70857	-129.98579	63.53358	-113.43629	-76.96694	49.41764	-162.57590	-128.77278	32.24318	16.47944	-165.24715	27.89496	-20.18884	145.54536	659.78320	23.47154	129.56732	416.44617	-38.76575	97.05838	262.23190	-31.36660	86.65930	65.83764	-116.65170	100.26608	36.77765	33.14299	37.75065	43.16044	-145.23750	134.87030	32.02294	-12.32016	
3	0.017	-61.32338	1545.32813	-120.65565	-37.52842	1465.73547	-175.42456	-80.16545	1508.56384	47.70498	5.81966	1551.58777	-82.76730	-164.92474	1338.54797	-140.62895	81.98255	1341.85876	-115.49375	-44.52148	1284.43860	-186.94826	35.71351	1154.42004	-204.01764	-324.65668	1290.10852	-152.77913	-442.69797	1235.29272	-119.12038	-543.45435	1267.79138	-143.58607	-670.98462	1320.72949	-79.27728	-668.78406	1309.25696	-147.87357	-722.13892	1337.79553	-80.50454	-724.90613	1324.32910	-151.96179	199.18674	1267.94299	-133.87195	343.48196	1206.62805	-55.40458	452.87769	1228.88818	-72.75564	568.66498	1241.63916	18.65269	578.19836	1216.94397	-47.90033	619.68903	1255.17822	16.68500	645.45343	1238.05200	-38.54519	-178.44467	938.87146	16.32551	95.20040	945.71271	34.93622	-176.62381	928.80737	-97.09806	94.53714	945.28149	-92.99774	-27.80278	928.04382	-161.95219	-215.90356	674.84827	15.21091	-178.21118	399.65128	-59.20570	-152.49332	233.48689	-54.76665	-130.11850	63.45790	-113.40937	-76.88325	49.38708	-162.53625	-128.53067	32.14467	16.56786	-165.24715	27.89496	-20.18884	145.40424	659.76074	23.61011	129.71613	416.47592	-38.69944	97.04393	262.23987	-31.27133	86.65930	65.83764	-116.65170	100.23259	36.73219	33.19714	37.75065	43.16044	-145.23750	134.86340	31.96610	-12.42214	
4	0.025	-61.41230	1545.23425	-120.74678	-37.59121	1465.66284	-175.30154	-80.31228	1508.66113	47.73816	5.78042	1551.60535	-82.72842	-164.83607	1338.46753	-140.62718	81.92413	1341.88867	-115.51812	-44.51281	1284.42395	-186.60887	35.84185	1154.50708	-203.72812	-324.81528	1289.89246	-153.18076	-442.64227	1235.17749	-119.55366	-543.42938	1267.68542	-143.73059	-671.14410	1320.77966	-79.84026	-668.98132	1309.14966	-148.36391	-722.19263	1337.48438	-80.68581	-724.87079	1324.16992	-152.37512	199.14931	1268.07556	-133.83061	343.49817	1206.85730	-55.37759	452.88522	1228.92163	-72.66485	568.87048	1241.79236	18.75421	578.33447	1217.21948	-48.03155	619.69281	1255.30737	16.71722	645.29340	1238.24939	-38.37699	-178.41164	938.96307	16.31988	95.12085	945.76471	35.01125	-176.71492	928.95135	-96.86875	94.69574	945.29980	-92.89067	-27.79470	927.94952	-162.03490	-216.05099	674.87085	15.27988	-178.18030	399.75061	-59.30388	-152.44606	233.51364	-54.90063	-130.11850	63.45790	-113.40937	-76.86195	49.44468	-162.58357	-128.68816	32.17290	16.46601	-165.15295	27.90154	-20.05792	145.18315	659.79315	23.80926	129.71613	416.47592	-38.69944	97.05838	262.23190	-31.36660	86.65930	65.83764	-116.65170	100.26608	36.77765	33.14299	37.75065	43.16044	-145.23750	134.86340	31.96610	-12.42214	
5	0.033	-61.70608	1545.28320	-120.84391	-37.57066	1465.62109	-175.22221	-80.42549	1508.67261	47.68073	5.49882	1551.66528	-82.69639	-164.96692	1338.41602	-140.64510	81.87148	1341.95374	-115.51776	-44.51281	1284.42395	-186.60887	36.05310	1154.45898	-203.42119	-324.85568	1289.81824	-153.30734	-442.52753	1234.99524	-119.70634	-543.38428	1267.53076	-143.82964	-671.51843	1320.40063	-80.49858	-668.98132	1309.14966	-148.36391	-722.10394	1337.24573	-80.85088	-724.81732	1323.79395	-152.87234	199.23787	1268.05164	-133.64182	343.41650	1207.00916	-54.84373	452.91135	1229.19971	-72.57443	568.77203	1242.09094	18.77315	578.38672	1217.44995	-47.90480	619.65430	1255.49353	16.78908	645.21356	1238.38403	-38.16176	-178.44467	938.87146	16.32551	94.94946	945.85211	35.43236	-176.71492	928.95135	-96.86875	94.86322	945.36365	-92.46979	-27.64931	927.99518	-162.00443	-216.01009	674.90857	15.15317	-178.16893	399.77380	-59.17382	-152.49332	233.48689	-54.76665	-130.11850	63.45790	-113.40937	-76.86195	49.44468	-162.58357	-128.76631	32.23676	16.57032	-165.15295	27.90154	-20.05792	145.35516	659.81396	23.86367	129.71613	416.47592	-38.69944	97.04393	262.23987	-31.27133	86.69701	65.85835	-116.58870	100.23259	36.73219	33.19714	38.04682	43.08735	-145.06650	134.86340	31.96610	-12.42214	
6	0.042	-61.70608	1545.28320	-120.84391	-37.51923	1465.56091	-175.22835	-80.61044	1508.77673	47.82053	5.42349	1551.75684	-82.58630	-165.04419	1338.42041	-140.69740	81.96355	1342.02612	-115.40222	-44.51281	1284.42395	-186.60887	35.96807	1154.44214	-203.12080	-324.85568	1289.81824	-153.30734	-442.53159	1235.14563	-119.71770	-543.39526	1267.46606	-144.00627	-671.50458	1320.18298	-80.63117	-668.75269	1308.68811	-148.53120	-722.14490	1337.15112	-81.62477	-724.76740	1322.77747	-152.40231	199.19884	1268.09155	-133.53641	343.59720	1207.18616	-54.59920	452.73419	1229.65295	-72.47336	568.61365	1242.13477	18.86762	578.50470	1217.58142	-46.93723	619.54907	1255.75671	16.90564	645.11188	1238.44885	-38.19147	-178.48926	938.99744	16.52515	95.11366	945.97107	35.70758	-176.57892	928.96680	-96.76289	94.95074	945.10364	-92.24313	-27.39036	927.99615	-161.72429	-215.94669	674.78186	15.30417	-178.16893	399.77380	-59.17382	-152.49997	233.55859	-54.80924	-129.92747	63.56850	-113.38135	-76.81564	49.52212	-162.56509	-128.68169	32.16649	16.55689	-165.15295	27.90154	-20.05792	145.33595	659.80273	23.97817	129.77136	416.52509	-38.55820	97.05364	262.16095	-31.23924	86.60011	65.77258	-116.53333	100.23259	36.73219	33.19714	38.04682	43.08735	-145.06650	134.87030	32.02294	-12.32016	
7	0.050	-61.77174	1545.30664	-120.76911	-37.68431	1465.58508	-175.10268	-80.67558	1508.81409	47.74366	5.31831	1551.71655	-82.46101	-165.04419	1338.42041	-140.69740	82.00803	1342.06262	-115.15908	-44.48428	1284.52368	-186.38617	36.09856	1154.40979	-202.90372	-324.95059	1289.67102	-153.43500	-442.45444	1235.16040	-119.97819	-543.43835	1267.28394	-144.26682	-671.92957	1320.01465	-81.03381	-668.54187	1308.74451	-149.26588	-722.05170	1336.83411	-81.84321	-724.91229	1322.76221	-152.43178	199.00070	1268.18567	-133.34338	343.70892	1207.35901	-54.42434	452.83405	1229.85437	-72.43937	568.61365	1242.13477	18.86762	578.55914	1217.83936	-46.66096	619.66760	1255.94824	17.16833	645.11157	1238.64685	-37.89089	-178.48926	938.99744	16.52515	95.08650	945.87524	36.03301	-176.51588	929.05359	-96.74608	94.97086	945.04480	-91.90336	-27.40271	928.00665	-161.46652	-216.06296	674.89514	15.34992	-178.18030	399.75061	-59.30388	-152.49332	233.48689	-54.76665	-129.84464	63.57375	-113.37675	-76.83694	49.46452	-162.51776	-128.68816	32.17290	16.46601	-165.15295	27.90154	-20.05792	145.31538	659.72443	24.35752	129.77136	416.52509	-38.55820	97.04393	262.23987	-31.27133	86.64231	65.86868	-116.47330	100.16488	36.67885	33.25988	38.04682	43.08735	-145.06650	134.84103	32.03811	-12.36163	
8	0.058	-61.79015	1545.26855	-120.81133	-37.68431	1465.58508	-175.10268	-80.88195	1508.87207	47.86512	5.17539	1551.79272	-82.42955	-165.04419	1338.42041	-140.69740	81.73883	1342.08386	-114.68018	-44.56878	1284.47900	-186.19551	36.31006	1154.41040	-202.58534	-325.11743	1289.52271	-153.34685	-442.39774	1235.03369	-120.18205	-543.62909	1267.20642	-144.81529	-671.89050	1319.61914	-81.88621	-668.67633	1308.52869	-149.66872	-722.24524	1336.77698	-82.05360	-724.90057	1322.78101	-152.73836	198.98061	1268.23535	-133.26874	343.71933	1207.40417	-54.34589	452.91180	1229.91736	-72.16517	568.54382	1242.43115	18.71653	578.45801	1217.97607	-47.17447	619.57855	1256.30042	17.48247	645.22345	1238.87085	-37.62459	-178.48926	938.99744	16.52515	95.25541	945.83252	36.34539	-176.38257	929.02502	-96.59741	94.82761	945.09869	-91.63211	-27.40271	928.00665	-161.46652	-215.91103	674.83636	15.28171	-178.18030	399.75061	-59.30388	-152.49332	233.48689	-54.76665	-129.87064	63.61167	-113.38366	-76.83694	49.46452	-162.51776	-128.66756	32.18702	16.64178	-165.16939	27.83606	-20.09343	145.22981	659.79034	24.70749	129.77136	416.52509	-38.55820	97.05364	262.16095	-31.23924	86.64231	65.86868	-116.47330	100.23259	36.73219	33.19714	37.75065	43.16044	-145.23750	134.91324	32.08414	-12.24851	
