PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\Mtanmar\Action_12.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      2290	41	mm	120.00	1	      2290
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	-71.62369	1547.49963	-49.73724	-34.79401	1472.22156	-102.58541	-125.63807	1499.60779	107.26766	-14.69260	1553.54431	1.46906	-181.82533	1334.36133	-89.79262	75.09566	1339.69531	-48.59415	-51.24601	1283.97717	-129.01578	31.32059	1154.58276	-145.37581	-344.19522	1280.35730	-102.67352	-457.78577	1218.34399	-72.63910	-559.85999	1251.09094	-90.88945	-686.25104	1301.78369	-22.93929	-685.25287	1294.45374	-91.30975	-734.40887	1321.89478	-20.24702	-740.44714	1315.01538	-94.42348	191.26355	1259.14063	-61.91831	327.92188	1189.73682	22.36723	437.36176	1211.95068	16.14065	545.01880	1223.92053	118.46780	559.88013	1196.47827	55.17347	596.39465	1237.88306	120.20201	626.31769	1217.23486	67.29813	-189.06567	937.88757	58.70254	87.12609	948.22748	84.61747	-181.01045	926.99225	-53.86171	89.74517	946.12329	-43.81527	-31.63211	927.92542	-112.19708	-226.46750	677.68774	67.78188	-189.47641	400.11768	10.55306	-165.80936	233.45120	20.01380	-142.52562	63.58962	-33.31686	-85.89201	48.27423	-80.14930	-148.21466	32.07450	95.94342	-182.59230	27.21713	58.13549	137.83617	662.39856	84.25928	123.76517	417.55945	30.05629	94.39681	263.35580	38.72009	89.87186	65.32982	-42.15105	98.77901	36.69135	108.30441	42.02919	41.92514	-72.23801	134.41966	31.88114	63.88301	
2	0.008	-71.48479	1547.44080	-49.72184	-34.75494	1472.10266	-102.53859	-125.72851	1499.61584	107.42805	-14.81095	1553.64343	1.34565	-181.82533	1334.36133	-89.79262	75.09566	1339.69531	-48.59415	-51.24601	1283.97717	-129.01578	31.32059	1154.58276	-145.37581	-344.19522	1280.35730	-102.67352	-457.80240	1218.52454	-72.67547	-559.71948	1251.10913	-90.59647	-686.16412	1302.13000	-22.41027	-685.25287	1294.45374	-91.30975	-734.37726	1321.88220	-19.93575	-740.47913	1315.11731	-94.28728	191.30035	1259.22949	-61.91553	327.93848	1189.78967	22.62881	437.44366	1211.82874	16.32063	545.07837	1223.83594	118.45398	559.90460	1196.31677	55.24949	596.39465	1237.88306	120.20201	626.50861	1217.15710	67.35220	-189.06567	937.88757	58.70254	87.11789	948.15588	84.56366	-181.02419	927.02637	-53.75604	89.74517	946.12329	-43.81527	-31.71563	927.67236	-112.10417	-225.94716	677.47058	67.02847	-189.31841	400.13968	10.52103	-165.80936	233.45120	20.01380	-142.52562	63.58962	-33.31686	-85.89201	48.27423	-80.14930	-148.24487	32.06266	95.79471	-182.72604	27.33218	58.14224	137.82463	662.33990	84.43771	123.76517	417.55945	30.05629	94.15817	263.44394	39.31750	90.00160	65.33321	-41.99299	98.75723	36.64797	108.34979	42.02919	41.92514	-72.23801	134.41966	31.88114	63.88301	
3	0.017	-71.49841	1547.37012	-49.58922	-34.68045	1472.12988	-102.30588	-125.57726	1499.75037	107.56470	-14.72278	1553.61145	1.40186	-181.73718	1334.44482	-89.74284	75.09566	1339.69531	-48.59415	-51.24601	1283.97717	-129.01578	31.32059	1154.58276	-145.37581	-344.09552	1280.49878	-102.55651	-457.74603	1218.61267	-72.62952	-559.71503	1251.19690	-90.45746	-686.11249	1302.20032	-22.41595	-685.27679	1294.49585	-91.22810	-734.23511	1321.97546	-19.84663	-740.23083	1315.04370	-94.06074	191.47667	1259.23230	-61.92907	327.93848	1189.78967	22.62881	437.44366	1211.82874	16.32063	545.34949	1223.95605	118.63158	559.90460	1196.31677	55.24949	596.39465	1237.88306	120.20201	626.52222	1217.11304	67.34045	-189.14204	938.00201	58.79634	87.12609	948.22748	84.61747	-181.03589	927.04657	-53.65494	89.90275	945.93750	-43.58248	-31.57935	927.69531	-112.12482	-226.03293	677.55475	67.21233	-189.31841	400.13968	10.52103	-165.80936	233.45120	20.01380	-142.45755	63.64531	-33.41293	-85.61644	48.38913	-79.81986	-148.24487	32.06266	95.79471	-182.72604	27.33218	58.14224	137.82463	662.33990	84.43771	123.82822	417.59427	30.18848	94.10033	263.42413	39.55244	89.97633	65.35577	-42.15728	98.79060	36.70124	108.32320	42.02919	41.92514	-72.23801	134.41966	31.88114	63.88301	
4	0.025	-71.29338	1547.33862	-49.49004	-34.45070	1472.16052	-102.16754	-125.53755	1499.69177	107.70156	-14.59726	1553.56360	1.57398	-181.63167	1334.47473	-89.58851	75.09566	1339.69531	-48.59415	-51.16179	1283.95618	-128.81941	31.45602	1154.60034	-145.16528	-343.95801	1280.66956	-102.28793	-457.85928	1218.73523	-72.46508	-559.74921	1251.51282	-90.22403	-686.00275	1302.42188	-22.47579	-685.09076	1294.54126	-90.72408	-734.13776	1322.10291	-19.59449	-740.17657	1315.22107	-93.81361	191.53497	1259.18970	-61.87175	328.05368	1189.72876	22.61642	437.57013	1211.82068	16.37317	545.26721	1223.55054	118.17673	559.94336	1196.27466	55.13322	596.48407	1237.87744	120.09346	626.52222	1217.11304	67.34045	-189.06567	937.88757	58.70254	87.12609	948.22748	84.61747	-181.03589	927.04657	-53.65494	89.88067	945.85370	-43.47153	-31.71563	927.67236	-112.10417	-226.04465	677.59204	67.42850	-189.34772	400.04141	10.61965	-165.80936	233.45120	20.01380	-142.46118	63.62399	-33.30698	-85.87405	48.22813	-80.06858	-148.21466	32.07450	95.94342	-182.59230	27.21713	58.13549	137.89240	662.36035	84.79251	123.82822	417.59427	30.18848	94.06102	263.34338	39.57203	89.93091	65.34849	-41.94835	98.77283	36.75135	108.19733	42.12744	41.91764	-72.20199	134.41966	31.88114	63.88301	
5	0.033	-71.21635	1547.42297	-49.44719	-34.46009	1472.10522	-102.12733	-125.53755	1499.69177	107.70156	-14.56069	1553.63416	1.58986	-181.57068	1334.50330	-89.57677	75.08793	1339.74048	-48.56955	-51.12232	1283.99768	-128.72562	31.60195	1154.57520	-145.10048	-343.49820	1280.67896	-101.92410	-457.67404	1218.79468	-72.33290	-559.70630	1251.70508	-90.13758	-686.27844	1302.65662	-22.42928	-685.14032	1294.79541	-90.66117	-734.14948	1322.46423	-19.16343	-739.94464	1315.39429	-93.59476	191.62292	1259.11780	-61.79431	328.30634	1189.69324	22.69369	437.72659	1211.80640	16.57872	545.27667	1223.63501	118.66449	560.01282	1196.33167	55.18062	596.53333	1237.87341	120.28059	626.52222	1217.11304	67.34045	-189.04980	937.81158	58.83804	87.22668	948.19489	84.61795	-181.03967	927.00348	-53.55890	89.83633	945.91254	-43.46835	-31.62648	927.76141	-112.16105	-226.04465	677.59204	67.42850	-189.31841	400.13968	10.52103	-165.72296	233.35826	20.03180	-142.46118	63.62399	-33.30698	-85.46775	48.44440	-79.78635	-148.21466	32.07450	95.94342	-182.65262	27.26551	58.11386	137.79350	662.38959	84.83768	123.82822	417.59427	30.18848	94.06102	263.34338	39.57203	90.00160	65.33321	-41.99299	98.79060	36.70124	108.32320	42.02919	41.92514	-72.23801	134.41966	31.88114	63.88301	
6	0.042	-71.19927	1547.27039	-49.38826	-34.36308	1472.01465	-101.99866	-125.53755	1499.69177	107.70156	-14.57666	1553.63196	1.70441	-181.48753	1334.49231	-89.43776	75.18769	1339.72839	-48.36499	-51.01968	1283.94055	-128.69171	31.50084	1154.44348	-144.71359	-342.97293	1280.22949	-100.79896	-457.43973	1218.90466	-72.13507	-559.61926	1251.86462	-89.99686	-685.93481	1302.96448	-21.93007	-684.92603	1294.90991	-90.34484	-733.93219	1322.76953	-19.00300	-739.83905	1315.64563	-93.42651	191.65973	1259.20654	-61.79153	328.30634	1189.69324	22.69369	437.80237	1211.74744	16.59262	545.64337	1223.51416	118.38906	560.07324	1196.25842	55.20848	596.53333	1237.87341	120.28059	626.69067	1217.14612	67.39822	-189.14699	938.02393	59.11125	87.22668	948.19489	84.61795	-181.03589	927.04657	-53.65494	89.83529	945.94110	-43.14004	-31.48854	927.70422	-112.12585	-226.10413	677.48932	67.50440	-189.34772	400.04141	10.61965	-165.71581	233.28751	20.07467	-142.46118	63.62399	-33.30698	-85.87405	48.22813	-80.06858	-148.24487	32.06266	95.79471	-182.72604	27.33218	58.14224	137.79350	662.38959	84.83768	123.92168	417.76111	30.40010	94.00294	263.18164	39.68107	89.93091	65.34849	-41.94835	98.75447	36.60136	108.41638	42.02919	41.92514	-72.23801	134.41966	31.88114	63.88301	
7	0.050	-71.14320	1547.26855	-49.31300	-34.13545	1471.85083	-101.85930	-125.47999	1499.72144	107.63397	-14.52688	1553.60022	1.74633	-181.27426	1334.60364	-89.12257	75.17548	1339.69080	-48.31203	-51.04353	1283.98523	-128.48297	31.71201	1154.45117	-144.76579	-343.18082	1280.58569	-101.12109	-457.34412	1219.01611	-72.01743	-559.54834	1252.07080	-89.76707	-685.92926	1303.19946	-21.67001	-684.91650	1294.90576	-90.04511	-733.69861	1323.01379	-18.82877	-739.80737	1315.76978	-93.38061	191.57477	1259.18689	-61.63946	328.49478	1189.65417	23.03434	437.82764	1211.65491	16.62013	545.64337	1223.51416	118.38906	560.22748	1196.31128	55.41256	596.53699	1237.88098	120.35746	626.76276	1217.11450	67.47034	-189.07063	937.90948	59.01744	87.32671	948.13263	84.69275	-181.03967	927.00348	-53.55890	89.84913	945.86169	-43.00906	-31.71987	927.57751	-112.01196	-226.01057	677.56873	67.57035	-189.34772	400.04141	10.61965	-165.71353	233.50909	20.25420	-142.52562	63.58962	-33.31686	-85.82964	48.27924	-79.99676	-148.24487	32.06266	95.79471	-182.65262	27.26551	58.11386	137.79350	662.38959	84.83768	123.99630	417.70837	30.44490	94.00294	263.18164	39.68107	89.80116	65.34509	-42.10641	98.77901	36.69135	108.30441	42.02919	41.92514	-72.23801	134.41966	31.88114	63.88301	
8	0.058	-70.91271	1547.21570	-49.20397	-34.11169	1471.85156	-101.80547	-125.53755	1499.69177	107.70156	-14.52303	1553.68982	1.87198	-181.22678	1334.64319	-89.03666	75.17548	1339.69080	-48.31203	-50.87178	1283.96289	-128.33238	31.67721	1154.49780	-144.66278	-343.33044	1280.58862	-100.67112	-457.29263	1219.11829	-71.98517	-559.62592	1252.26123	-89.69283	-685.60760	1303.31970	-21.35311	-684.66577	1295.04456	-89.78946	-733.87384	1322.91333	-18.93589	-739.86835	1316.00842	-93.18494	191.91838	1259.43494	-62.08485	328.60547	1189.60999	23.26542	437.99014	1211.55969	16.66004	545.73724	1223.33887	118.34813	560.36243	1196.40027	55.60202	596.71057	1237.87891	120.60551	626.89166	1217.13293	67.44150	-189.20987	937.94788	59.16299	87.29674	948.20819	84.82368	-181.03967	927.00348	-53.55890	89.84913	945.86169	-43.00906	-31.81223	927.50171	-111.93873	-226.10085	677.54303	67.58849	-189.34772	400.04141	10.61965	-165.70638	233.43834	20.29707	-142.46118	63.62399	-33.30698	-85.53922	48.41015	-79.79627	-148.21466	32.07450	95.94342	-182.72604	27.33218	58.14224	137.79350	662.38959	84.83768	124.06713	417.69751	30.53395	93.90553	263.19009	39.77388	89.93091	65.34849	-41.94835	98.75447	36.60136	108.41638	42.02919	41.92514	-72.23801	134.41966	31.88114	63.88301	
