PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\Mtanmar\Action_13.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1333	41	mm	120.00	1	      1333
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	-50.47781	1548.93469	-25.21036	-20.74798	1470.70520	-79.34615	-88.58649	1506.38318	137.92085	11.12450	1553.91431	20.13932	-155.78070	1341.94934	-59.63356	89.96503	1345.29492	-27.66270	-36.07038	1288.96851	-99.58034	38.24033	1158.99854	-117.07275	-316.51797	1291.69592	-87.11691	-429.63840	1232.90540	-66.96496	-527.21118	1262.19666	-102.35865	-663.46368	1309.81201	-54.92248	-653.72296	1300.03271	-122.42735	-712.35809	1328.07275	-59.79172	-709.90747	1316.26306	-131.01668	200.46478	1268.91956	-56.83304	349.44650	1207.04663	11.40450	456.86127	1226.39758	-17.27815	583.09991	1239.75916	62.44805	585.76721	1208.19910	-2.06793	631.71826	1258.77759	48.69117	649.95569	1236.96057	-8.25885	-171.04706	940.44525	99.37821	104.65030	944.42700	115.27680	-170.21535	931.71783	-15.60844	101.78748	946.66943	-12.49743	-21.61305	931.86615	-79.68521	-209.98898	676.17975	98.27558	-177.60353	400.54987	27.07209	-154.12773	235.47279	35.30012	-132.98422	63.33461	-18.43535	-80.15356	48.99531	-67.39560	-132.33495	32.11850	111.70563	-169.09091	27.54174	75.55569	151.87758	658.81232	100.27092	135.62106	415.33899	37.65808	102.50500	262.79022	45.64490	91.58741	65.07959	-34.69342	102.27346	36.78961	115.38787	42.99311	42.43800	-64.47012	137.44398	31.89714	70.72971	
2	0.008	-50.65483	1548.93054	-25.39537	-20.97097	1470.67712	-79.54654	-88.68889	1506.32312	137.83801	10.93053	1553.88770	19.86891	-155.87766	1341.92041	-59.70588	89.84415	1345.31543	-27.89560	-36.43402	1288.95813	-99.64124	38.24033	1158.99854	-117.07275	-316.70633	1291.83325	-87.32336	-429.79984	1232.84106	-66.79986	-527.51019	1262.00903	-102.16317	-663.32257	1309.58264	-55.05071	-653.73975	1299.94775	-122.47081	-712.48370	1328.14331	-59.72757	-709.99817	1316.18872	-130.98808	200.42686	1268.87866	-56.93436	349.19534	1207.16309	11.21772	456.85358	1226.40002	-17.40875	582.98541	1239.97607	62.27852	585.69086	1208.33057	-2.11907	631.44727	1258.99988	48.53083	649.96234	1237.21509	-8.39171	-171.02473	940.34674	99.19848	104.56499	944.38892	115.29119	-170.16646	931.65521	-15.67551	101.64371	946.71588	-12.68986	-21.57414	931.72699	-79.80441	-209.93028	676.09393	98.48769	-177.59544	400.57657	27.19441	-154.12773	235.47279	35.30012	-132.97066	63.28434	-18.53689	-80.05534	48.98471	-67.27917	-132.33495	32.11850	111.70563	-169.10332	27.48309	75.55467	151.74678	658.82263	100.22038	135.62106	415.33899	37.65808	102.50500	262.79022	45.64490	91.43034	65.15222	-34.72913	102.27346	36.78961	115.38787	42.99311	42.43800	-64.47012	137.50604	31.91312	70.63027	
3	0.017	-50.80609	1548.80847	-25.51751	-21.16674	1470.69165	-79.68310	-88.82477	1506.31299	137.75320	10.74971	1553.92761	19.84390	-156.21162	1341.86108	-60.07708	89.66325	1345.17407	-28.21882	-36.72992	1288.77600	-99.72533	38.24512	1158.94653	-117.27355	-316.99033	1291.89160	-87.33443	-430.02194	1232.64026	-67.07015	-527.60754	1262.02661	-102.10098	-663.50671	1309.58716	-55.03256	-653.73975	1299.94775	-122.47081	-712.68811	1328.14270	-59.81392	-710.08899	1316.20422	-130.91698	200.12379	1269.00403	-57.03686	348.94843	1207.23938	10.90139	456.85977	1226.49219	-17.43991	582.82617	1240.22412	61.96680	585.65265	1208.45569	-2.32588	631.38702	1259.13171	48.53443	649.83868	1237.47339	-8.58461	-171.02473	940.34674	99.19848	104.65030	944.42700	115.27680	-170.37024	931.65875	-15.64806	101.49299	946.75958	-12.85122	-21.56942	931.62549	-79.86394	-210.08929	676.03516	98.61452	-177.67366	400.59540	27.17713	-154.12773	235.47279	35.30012	-132.98422	63.33461	-18.43535	-80.15356	48.99531	-67.39560	-132.33495	32.11850	111.70563	-169.09091	27.54174	75.55569	151.68855	658.88861	100.11328	135.36911	415.43582	37.84938	102.43687	262.71045	45.63665	91.43034	65.15222	-34.72913	102.27346	36.78961	115.38787	42.99311	42.43800	-64.47012	137.51593	31.88288	70.53358	
4	0.025	-50.91295	1548.78735	-25.62216	-21.24614	1470.71472	-79.75826	-88.99557	1506.31213	137.56181	10.70172	1553.84900	19.73595	-156.27048	1341.79480	-60.12442	89.58772	1345.25830	-28.20306	-36.65648	1289.07019	-100.46138	38.24757	1158.96118	-117.56673	-317.32529	1291.82227	-87.83488	-430.17023	1232.59277	-66.90415	-527.84143	1262.07007	-102.20827	-663.50671	1309.58716	-55.03256	-654.05664	1299.88965	-122.68269	-712.70093	1328.09485	-59.78360	-710.20630	1316.09045	-130.90961	199.97800	1268.82727	-57.16283	348.90659	1207.32080	10.78450	456.53815	1226.63269	-17.55087	582.90857	1240.44763	61.63768	585.56415	1208.60034	-2.42499	631.37677	1259.49329	48.18898	649.80798	1237.51892	-8.59250	-171.02473	940.34674	99.19848	104.56499	944.38892	115.29119	-170.46483	931.71875	-15.64365	101.36820	946.76044	-13.04719	-21.76049	931.72192	-79.79845	-210.08929	676.03516	98.61452	-177.67366	400.59540	27.17713	-154.12773	235.47279	35.30012	-132.96713	63.33102	-18.50336	-80.15356	48.99531	-67.39560	-132.33495	32.11850	111.70563	-169.09091	27.54174	75.55569	151.68855	658.88861	100.11328	135.27071	415.36209	37.94077	102.29839	262.71381	45.70275	91.58741	65.07959	-34.69342	102.27346	36.78961	115.38787	43.06078	42.37803	-64.44300	137.50604	31.91312	70.63027	
5	0.033	-51.02000	1548.75269	-25.66607	-21.63457	1470.76465	-79.78931	-89.06665	1506.34778	137.32803	10.54133	1553.84387	19.20647	-156.28539	1341.73962	-60.12213	89.56178	1345.23230	-28.35538	-36.89083	1288.98364	-100.48575	38.24769	1158.95105	-117.70816	-317.08127	1291.54187	-86.90666	-430.17023	1232.59277	-66.90415	-527.96088	1262.02478	-102.04873	-663.65424	1309.59729	-54.82082	-654.28180	1299.87427	-122.37833	-712.80603	1327.94067	-59.65925	-710.43695	1315.89465	-130.75859	199.97800	1268.82727	-57.16283	348.90167	1207.44812	10.71114	456.53815	1226.63269	-17.55087	582.80920	1241.13965	62.44152	585.33063	1208.44653	-3.00039	631.39716	1259.61096	48.04650	649.59821	1237.78674	-8.75866	-171.18648	940.35815	99.19152	104.56499	944.38892	115.29119	-170.46483	931.71875	-15.64365	101.25615	946.75043	-13.00031	-21.84153	931.56250	-79.91491	-210.19128	676.06189	98.67007	-177.68681	400.51913	27.10696	-154.12773	235.47279	35.30012	-132.97066	63.28434	-18.53689	-80.15356	48.99531	-67.39560	-132.44177	32.07771	111.69979	-169.09091	27.54174	75.55569	151.68855	658.88861	100.11328	135.22139	415.41095	37.85798	102.29839	262.71381	45.70275	91.71103	65.07329	-34.63710	102.27346	36.78961	115.38787	42.99311	42.43800	-64.47012	137.44208	31.86901	70.64703	
6	0.042	-51.35188	1548.64331	-25.92394	-21.63457	1470.76465	-79.78931	-89.18653	1506.41663	137.15608	10.44781	1553.81311	18.98918	-156.61958	1341.75781	-60.27232	89.45131	1345.29614	-28.43318	-37.01011	1289.01111	-100.53761	38.03888	1158.86743	-117.72794	-317.09485	1291.46814	-87.00808	-430.10831	1232.59338	-67.02935	-528.35370	1261.94702	-101.95091	-663.77216	1309.51526	-55.00686	-654.29181	1299.72058	-122.30049	-712.80603	1327.94067	-59.65925	-710.43695	1315.89465	-130.75859	199.96007	1268.91028	-57.14445	348.88269	1207.41272	10.10201	456.64325	1226.76563	-17.73940	582.87335	1241.21045	62.23996	585.21722	1208.66650	-3.56173	631.20398	1259.79395	48.03894	649.41632	1237.96191	-8.90698	-171.56783	940.51154	99.16405	104.37690	944.34760	115.20022	-170.60133	931.68158	-15.64115	100.94319	946.76202	-13.22095	-21.84153	931.56250	-79.91491	-210.31165	675.97394	98.68933	-177.67366	400.59540	27.17713	-154.12773	235.47279	35.30012	-132.97066	63.28434	-18.53689	-80.15356	48.99531	-67.39560	-132.33495	32.11850	111.70563	-169.14571	27.49755	75.58329	151.60721	658.95795	100.15231	135.17410	415.33075	37.87370	102.18601	262.63840	45.68840	91.50150	64.96661	-34.73012	102.28915	36.83526	115.40634	42.99311	42.43800	-64.47012	137.57990	31.92699	70.51682	
7	0.050	-51.60903	1548.62964	-26.16139	-21.75584	1470.76697	-79.92529	-89.35510	1506.41016	136.99310	10.31667	1553.86963	18.86164	-156.61958	1341.75781	-60.27232	89.38019	1345.26599	-28.47659	-37.10220	1288.94824	-100.50059	37.92905	1158.73669	-117.79444	-317.44498	1291.36401	-87.14015	-430.20740	1232.57568	-66.96806	-528.35370	1261.94702	-101.95091	-664.12354	1309.49744	-55.28752	-654.49976	1299.64197	-122.15975	-712.81903	1327.89587	-59.64095	-710.44391	1315.78076	-130.67494	199.68361	1268.96570	-57.33530	348.85095	1207.49243	10.08617	456.58240	1226.87280	-17.80404	582.62762	1241.54626	62.49600	585.30548	1208.87061	-3.59450	631.19720	1260.07678	47.93710	649.19928	1238.08105	-8.89351	-171.73534	940.52203	98.96791	104.15720	944.45752	114.98542	-170.61298	931.70087	-15.54473	100.86572	946.74561	-13.35506	-22.01111	931.50037	-80.09834	-210.59206	675.97418	98.66962	-177.68681	400.51913	27.10696	-154.12773	235.47279	35.30012	-132.96452	63.20540	-18.67798	-80.15356	48.99531	-67.39560	-132.44177	32.07771	111.69979	-169.10332	27.48309	75.55467	151.52699	658.93378	100.12598	135.22139	415.41095	37.85798	102.18601	262.63840	45.68840	91.30997	65.01801	-34.79430	102.27801	36.78286	115.32280	42.99311	42.43800	-64.47012	137.44398	31.89714	70.72971	
8	0.058	-52.34943	1548.49377	-25.71654	-22.11106	1470.77686	-80.20792	-89.62280	1506.32104	136.83507	10.09326	1553.88647	18.69230	-156.59273	1341.81970	-60.30288	89.10646	1345.36829	-28.56793	-37.29088	1289.06909	-100.61168	37.86847	1158.83826	-117.88357	-317.44498	1291.36401	-87.14015	-430.27475	1232.52319	-67.03745	-528.46887	1261.93567	-102.02671	-664.19525	1309.45300	-54.97820	-654.49976	1299.64197	-122.15975	-712.91516	1327.83936	-59.67999	-710.48737	1315.78406	-130.61687	199.67865	1269.10559	-57.50549	348.82724	1207.60413	9.71847	456.38156	1227.06909	-17.97107	582.69556	1241.78357	62.56402	585.12067	1208.88977	-3.63737	631.09149	1260.22644	47.77069	649.04279	1238.19006	-9.05723	-171.85271	940.63416	98.98712	104.08125	944.56622	114.89378	-170.89282	931.56256	-15.44379	100.75993	946.67480	-13.32485	-22.19205	931.39319	-80.18216	-210.59206	675.97418	98.66962	-177.67366	400.59540	27.17713	-154.13704	235.42220	35.31763	-132.96194	63.22535	-18.59726	-80.15356	48.99531	-67.39560	-132.44177	32.07771	111.69979	-169.09091	27.54174	75.55569	151.45427	658.98230	100.18348	135.12471	415.37958	37.79091	102.18601	262.63840	45.68840	91.43034	65.15222	-34.72913	102.27346	36.78961	115.38787	42.99311	42.43800	-64.47012	137.57990	31.92699	70.51682	
